organization_id,organization_name,industry,organization_size,soc_maturity,region,created_at
ORG00086,Secure Systems 00086,Manufacturing,Small,Basic,West India,2025-02-13
ORG00087,Secure Systems 00087,Telecommunications,Small,Basic,Central India,2024-07-01
ORG00088,Secure Systems 00088,Manufacturing,Large,Intermediate,Central India,2025-03-20
ORG00089,Secure Systems 00089,Healthcare,Enterprise,Advanced,South India,2025-06-07
ORG00090,Secure Systems 00090,Finance,Enterprise,Basic,Central India,2024-09-17
ORG00091,Secure Systems 00091,Retail,Large,Intermediate,North India,2026-04-05
ORG00092,Secure Systems 00092,Manufacturing,Large,Advanced,North India,2025-11-11
ORG00093,Secure Systems 00093,Telecommunications,Large,Advanced,East India,2026-01-07
ORG00094,Secure Systems 00094,Government,Large,Advanced,South India,2024-11-30
ORG00095,Secure Systems 00095,Government,Enterprise,Advanced,South India,2024-07-15
ORG00096,Secure Systems 00096,Telecommunications,Enterprise,Advanced,North India,2025-09-22
ORG00097,Secure Systems 00097,Telecommunications,Medium,Intermediate,Central India,2024-11-07
ORG00098,Secure Systems 00098,Manufacturing,Enterprise,Intermediate,East India,2025-09-13
ORG00099,Secure Systems 00099,Retail,Enterprise,Advanced,South India,2025-11-22
ORG00100,Secure Systems 00100,Healthcare,Large,Advanced,Central India,2025-11-05
ORG00101,Secure Systems 00101,Healthcare,Medium,Advanced,West India,2024-12-09
ORG00102,Secure Systems 00102,Retail,Medium,Basic,North India,2024-08-18
ORG00103,Secure Systems 00103,Education,Small,Intermediate,East India,2024-09-07
ORG00104,Secure Systems 00104,Retail,Enterprise,Intermediate,East India,2025-10-06
ORG00105,Secure Systems 00105,Technology,Small,Basic,East India,2024-09-06
ORG00106,Secure Systems 00106,Technology,Enterprise,Basic,Central India,2024-08-12
ORG00107,Secure Systems 00107,Healthcare,Enterprise,Basic,East India,2024-09-12
ORG00108,Secure Systems 00108,Manufacturing,Enterprise,Advanced,Central India,2025-11-14
ORG00109,Secure Systems 00109,Education,Medium,Advanced,East India,2025-03-12
ORG00110,Secure Systems 00110,Telecommunications,Medium,Advanced,West India,2025-04-05
ORG00111,Secure Systems 00111,Education,Medium,Intermediate,East India,2026-02-23
ORG00112,Secure Systems 00112,Telecommunications,Medium,Intermediate,West India,2024-03-20
ORG00113,Secure Systems 00113,Healthcare,Medium,Basic,South India,2024-11-23
ORG00114,Secure Systems 00114,Technology,Medium,Basic,East India,2025-01-27
ORG00115,Secure Systems 00115,Manufacturing,Enterprise,Intermediate,North India,2025-02-21
ORG00116,Secure Systems 00116,Government,Enterprise,Advanced,North India,2024-07-30
ORG00117,Secure Systems 00117,Government,Enterprise,Basic,West India,2026-05-27
ORG00118,Secure Systems 00118,Government,Enterprise,Advanced,Central India,2024-11-01
ORG00119,Secure Systems 00119,Retail,Enterprise,Basic,West India,2026-03-30
ORG00120,Secure Systems 00120,Education,Small,Intermediate,West India,2025-03-22
ORG00121,Secure Systems 00121,Government,Medium,Intermediate,South India,2025-11-15
ORG00122,Secure Systems 00122,Finance,Enterprise,Advanced,Central India,2025-09-29
ORG00123,Secure Systems 00123,Finance,Small,Advanced,East India,2025-11-09
ORG00124,Secure Systems 00124,Education,Medium,Basic,West India,2024-05-18
ORG00125,Secure Systems 00125,Manufacturing,Medium,Intermediate,West India,2025-01-23
ORG00126,Secure Systems 00126,Government,Large,Intermediate,West India,2024-12-11
ORG00127,Secure Systems 00127,Healthcare,Enterprise,Basic,Central India,2026-05-04
ORG00128,Secure Systems 00128,Manufacturing,Medium,Advanced,North India,2024-02-23
ORG00129,Secure Systems 00129,Finance,Small,Basic,South India,2026-03-10
ORG00130,Secure Systems 00130,Finance,Medium,Basic,South India,2026-05-09
ORG00131,Secure Systems 00131,Healthcare,Medium,Intermediate,West India,2025-04-29
ORG00132,Secure Systems 00132,Manufacturing,Medium,Advanced,Central India,2026-02-24
ORG00133,Secure Systems 00133,Healthcare,Medium,Intermediate,North India,2026-02-04
ORG00134,Secure Systems 00134,Finance,Large,Advanced,East India,2025-08-15
ORG00135,Secure Systems 00135,Retail,Small,Advanced,South India,2025-02-10
ORG00136,Secure Systems 00136,Telecommunications,Small,Advanced,North India,2024-04-14
ORG00137,Secure Systems 00137,Government,Large,Basic,Central India,2024-12-21
ORG00138,Secure Systems 00138,Manufacturing,Small,Intermediate,East India,2025-10-25
ORG00139,Secure Systems 00139,Government,Large,Advanced,East India,2024-04-18
ORG00140,Secure Systems 00140,Technology,Enterprise,Basic,Central India,2025-12-25
ORG00141,Secure Systems 00141,Telecommunications,Enterprise,Intermediate,East India,2025-10-28
ORG00142,Secure Systems 00142,Telecommunications,Large,Basic,North India,2026-04-25
ORG00143,Secure Systems 00143,Education,Medium,Intermediate,Central India,2024-10-12
ORG00144,Secure Systems 00144,Government,Large,Basic,East India,2025-09-16
ORG00145,Secure Systems 00145,Manufacturing,Medium,Intermediate,South India,2026-05-21
ORG00146,Secure Systems 00146,Telecommunications,Large,Intermediate,Central India,2024-12-29
ORG00147,Secure Systems 00147,Telecommunications,Small,Advanced,South India,2025-12-19
ORG00148,Secure Systems 00148,Retail,Enterprise,Intermediate,Central India,2024-03-28
ORG00149,Secure Systems 00149,Retail,Enterprise,Advanced,East India,2026-02-15
ORG00150,Secure Systems 00150,Finance,Small,Intermediate,South India,2025-04-03
ORG00151,Secure Systems 00151,Retail,Large,Advanced,Central India,2025-02-18
ORG00152,Secure Systems 00152,Education,Large,Intermediate,Central India,2025-01-12
ORG00153,Secure Systems 00153,Manufacturing,Enterprise,Intermediate,West India,2024-12-04
ORG00154,Secure Systems 00154,Retail,Small,Advanced,South India,2024-09-14
ORG00155,Secure Systems 00155,Healthcare,Medium,Basic,South India,2024-11-19
ORG00156,Secure Systems 00156,Education,Large,Advanced,Central India,2026-01-26
ORG00157,Secure Systems 00157,Telecommunications,Small,Basic,West India,2026-02-17
ORG00158,Secure Systems 00158,Manufacturing,Medium,Intermediate,North India,2024-08-20
ORG00159,Secure Systems 00159,Technology,Large,Basic,North India,2025-12-26
ORG00160,Secure Systems 00160,Telecommunications,Medium,Advanced,East India,2025-07-20
ORG00161,Secure Systems 00161,Finance,Large,Intermediate,East India,2024-04-15
ORG00162,Secure Systems 00162,Manufacturing,Medium,Basic,West India,2025-03-27
ORG00163,Secure Systems 00163,Education,Small,Basic,East India,2026-06-01
ORG00164,Secure Systems 00164,Healthcare,Small,Basic,South India,2025-05-18
ORG00165,Secure Systems 00165,Telecommunications,Small,Basic,North India,2026-04-10
ORG00166,Secure Systems 00166,Government,Medium,Advanced,East India,2025-07-25
ORG00167,Secure Systems 00167,Education,Large,Advanced,East India,2025-04-06
ORG00168,Secure Systems 00168,Finance,Small,Basic,South India,2024-11-08
ORG00169,Secure Systems 00169,Healthcare,Medium,Basic,South India,2024-09-27
ORG00170,Secure Systems 00170,Healthcare,Medium,Basic,East India,2025-07-19
ORG00171,Secure Systems 00171,Education,Large,Basic,South India,2025-04-06
ORG00172,Secure Systems 00172,Telecommunications,Enterprise,Basic,South India,2024-10-22
ORG00173,Secure Systems 00173,Retail,Enterprise,Basic,Central India,2024-09-27
ORG00174,Secure Systems 00174,Technology,Large,Basic,North India,2024-08-18
ORG00175,Secure Systems 00175,Technology,Large,Advanced,Central India,2024-03-02
ORG00176,Secure Systems 00176,Education,Small,Intermediate,West India,2024-10-22
ORG00177,Secure Systems 00177,Government,Large,Advanced,Central India,2025-12-17
ORG00178,Secure Systems 00178,Education,Small,Advanced,North India,2025-05-20
ORG00179,Secure Systems 00179,Manufacturing,Large,Basic,North India,2025-03-18
ORG00180,Secure Systems 00180,Finance,Large,Advanced,North India,2024-08-22
ORG00181,Secure Systems 00181,Technology,Enterprise,Advanced,East India,2026-02-20
ORG00182,Secure Systems 00182,Technology,Enterprise,Advanced,East India,2024-10-11
ORG00183,Secure Systems 00183,Education,Large,Intermediate,West India,2024-04-03
ORG00184,Secure Systems 00184,Healthcare,Medium,Intermediate,East India,2024-11-24
ORG00185,Secure Systems 00185,Education,Large,Advanced,East India,2025-12-11
ORG00186,Secure Systems 00186,Finance,Enterprise,Basic,West India,2026-04-13
ORG00187,Secure Systems 00187,Manufacturing,Small,Intermediate,Central India,2024-09-15
ORG00188,Secure Systems 00188,Finance,Enterprise,Intermediate,North India,2026-04-24
ORG00189,Secure Systems 00189,Manufacturing,Enterprise,Advanced,East India,2024-07-11
ORG00190,Secure Systems 00190,Finance,Medium,Intermediate,Central India,2026-02-17
ORG00191,Secure Systems 00191,Telecommunications,Enterprise,Advanced,East India,2024-05-14
ORG00192,Secure Systems 00192,Finance,Medium,Advanced,South India,2024-05-04
ORG00193,Secure Systems 00193,Finance,Enterprise,Basic,South India,2024-11-14
ORG00194,Secure Systems 00194,Healthcare,Enterprise,Basic,South India,2026-05-11
ORG00195,Secure Systems 00195,Telecommunications,Large,Intermediate,East India,2025-05-25
ORG00196,Secure Systems 00196,Retail,Enterprise,Advanced,South India,2025-04-28
ORG00197,Secure Systems 00197,Retail,Medium,Basic,West India,2025-01-27
ORG00198,Secure Systems 00198,Government,Large,Advanced,West India,2026-03-02
ORG00199,Secure Systems 00199,Finance,Large,Advanced,West India,2026-04-20
ORG00200,Secure Systems 00200,Education,Medium,Intermediate,Central India,2026-05-07
ORG00201,Secure Systems 00201,Manufacturing,Large,Advanced,Central India,2025-05-10
ORG00202,Secure Systems 00202,Education,Large,Basic,South India,2025-01-21
ORG00203,Secure Systems 00203,Government,Medium,Intermediate,North India,2025-08-08
ORG00204,Secure Systems 00204,Education,Enterprise,Intermediate,South India,2024-11-21
ORG00205,Secure Systems 00205,Finance,Medium,Advanced,Central India,2025-05-22
ORG00206,Secure Systems 00206,Healthcare,Enterprise,Basic,Central India,2024-12-05
ORG00207,Secure Systems 00207,Finance,Medium,Intermediate,South India,2025-04-12
ORG00208,Secure Systems 00208,Education,Large,Intermediate,Central India,2024-03-17
ORG00209,Secure Systems 00209,Government,Small,Intermediate,Central India,2025-12-10
ORG00210,Secure Systems 00210,Manufacturing,Enterprise,Advanced,North India,2025-01-24
ORG00211,Secure Systems 00211,Healthcare,Medium,Advanced,West India,2025-09-24
ORG00212,Secure Systems 00212,Healthcare,Enterprise,Basic,North India,2024-08-20
ORG00213,Secure Systems 00213,Technology,Large,Basic,North India,2025-03-30
ORG00214,Secure Systems 00214,Finance,Large,Intermediate,West India,2024-11-28
ORG00215,Secure Systems 00215,Technology,Medium,Advanced,East India,2025-03-17
ORG00216,Secure Systems 00216,Technology,Medium,Basic,North India,2025-08-02
ORG00217,Secure Systems 00217,Government,Medium,Intermediate,Central India,2025-09-16
ORG00218,Secure Systems 00218,Retail,Enterprise,Advanced,West India,2024-05-26
ORG00219,Secure Systems 00219,Telecommunications,Small,Intermediate,West India,2025-04-15
ORG00220,Secure Systems 00220,Technology,Small,Intermediate,West India,2025-11-24
ORG00221,Secure Systems 00221,Telecommunications,Enterprise,Advanced,West India,2025-08-24
ORG00222,Secure Systems 00222,Telecommunications,Medium,Intermediate,East India,2025-04-12
ORG00223,Secure Systems 00223,Retail,Enterprise,Advanced,West India,2024-04-19
ORG00224,Secure Systems 00224,Telecommunications,Large,Basic,East India,2025-08-11
ORG00225,Secure Systems 00225,Finance,Small,Advanced,East India,2024-10-08
ORG00226,Secure Systems 00226,Telecommunications,Medium,Advanced,West India,2026-05-02
ORG00227,Secure Systems 00227,Retail,Large,Advanced,South India,2024-08-12
ORG00228,Secure Systems 00228,Healthcare,Small,Intermediate,East India,2025-10-05
ORG00229,Secure Systems 00229,Manufacturing,Medium,Basic,West India,2024-02-04
ORG00230,Secure Systems 00230,Government,Medium,Basic,South India,2024-11-30
ORG00231,Secure Systems 00231,Manufacturing,Large,Basic,West India,2026-03-16
ORG00232,Secure Systems 00232,Education,Large,Advanced,West India,2026-04-24
ORG00233,Secure Systems 00233,Healthcare,Enterprise,Basic,South India,2026-04-03
ORG00234,Secure Systems 00234,Retail,Enterprise,Advanced,West India,2026-02-11
ORG00235,Secure Systems 00235,Government,Small,Intermediate,Central India,2024-04-02
ORG00236,Secure Systems 00236,Education,Large,Advanced,West India,2024-05-06
ORG00237,Secure Systems 00237,Government,Large,Basic,South India,2025-08-21
ORG00238,Secure Systems 00238,Finance,Large,Advanced,South India,2025-04-27
ORG00239,Secure Systems 00239,Healthcare,Enterprise,Advanced,West India,2025-10-25
ORG00240,Secure Systems 00240,Government,Small,Basic,North India,2025-10-26
ORG00241,Secure Systems 00241,Telecommunications,Enterprise,Basic,North India,2024-02-08
ORG00242,Secure Systems 00242,Technology,Enterprise,Intermediate,West India,2024-08-28
ORG00243,Secure Systems 00243,Government,Medium,Intermediate,North India,2025-11-17
ORG00244,Secure Systems 00244,Education,Enterprise,Intermediate,North India,2026-05-03
ORG00245,Secure Systems 00245,Manufacturing,Medium,Intermediate,East India,2025-12-07
ORG00246,Secure Systems 00246,Manufacturing,Small,Advanced,West India,2024-08-29
ORG00247,Secure Systems 00247,Manufacturing,Small,Intermediate,West India,2025-07-11
ORG00248,Secure Systems 00248,Healthcare,Enterprise,Basic,South India,2024-07-13
ORG00249,Secure Systems 00249,Finance,Small,Intermediate,South India,2025-10-19
ORG00250,Secure Systems 00250,Retail,Small,Advanced,South India,2024-05-08
ORG00251,Secure Systems 00251,Retail,Medium,Intermediate,South India,2025-08-23
ORG00252,Secure Systems 00252,Finance,Large,Basic,South India,2026-03-18
ORG00253,Secure Systems 00253,Telecommunications,Medium,Basic,North India,2025-07-07
ORG00254,Secure Systems 00254,Finance,Large,Basic,Central India,2024-05-14
ORG00255,Secure Systems 00255,Finance,Medium,Intermediate,North India,2024-11-27
ORG00256,Secure Systems 00256,Government,Small,Advanced,North India,2024-05-09
ORG00257,Secure Systems 00257,Education,Large,Advanced,Central India,2025-05-02
ORG00258,Secure Systems 00258,Education,Medium,Advanced,North India,2024-04-21
ORG00259,Secure Systems 00259,Telecommunications,Enterprise,Advanced,North India,2026-01-14
ORG00260,Secure Systems 00260,Education,Enterprise,Intermediate,North India,2024-03-03
ORG00261,Secure Systems 00261,Education,Small,Basic,West India,2025-05-17
ORG00262,Secure Systems 00262,Technology,Small,Basic,West India,2025-09-14
ORG00263,Secure Systems 00263,Manufacturing,Enterprise,Advanced,Central India,2025-10-01
ORG00264,Secure Systems 00264,Education,Enterprise,Basic,North India,2024-10-28
ORG00265,Secure Systems 00265,Retail,Enterprise,Intermediate,South India,2026-05-23
ORG00266,Secure Systems 00266,Manufacturing,Enterprise,Intermediate,East India,2025-02-27
ORG00267,Secure Systems 00267,Healthcare,Large,Intermediate,West India,2026-01-17
ORG00268,Secure Systems 00268,Telecommunications,Large,Basic,East India,2025-11-12
ORG00269,Secure Systems 00269,Healthcare,Small,Basic,East India,2024-03-09
ORG00270,Secure Systems 00270,Manufacturing,Medium,Advanced,North India,2024-04-08
ORG00271,Secure Systems 00271,Manufacturing,Small,Intermediate,West India,2025-08-23
ORG00272,Secure Systems 00272,Government,Small,Intermediate,Central India,2026-06-13
ORG00273,Secure Systems 00273,Manufacturing,Small,Advanced,Central India,2024-11-15
ORG00274,Secure Systems 00274,Technology,Enterprise,Basic,North India,2024-08-05
ORG00275,Secure Systems 00275,Manufacturing,Small,Intermediate,Central India,2024-12-24
ORG00276,Secure Systems 00276,Government,Small,Advanced,West India,2024-08-19
ORG00277,Secure Systems 00277,Technology,Large,Advanced,West India,2024-01-30
ORG00278,Secure Systems 00278,Manufacturing,Small,Basic,South India,2024-12-13
ORG00279,Secure Systems 00279,Government,Small,Basic,North India,2025-08-02
ORG00280,Secure Systems 00280,Retail,Enterprise,Intermediate,East India,2024-04-03
ORG00281,Secure Systems 00281,Technology,Large,Intermediate,West India,2024-12-15
ORG00282,Secure Systems 00282,Healthcare,Small,Basic,South India,2026-03-06
ORG00283,Secure Systems 00283,Finance,Small,Intermediate,East India,2026-02-11
ORG00284,Secure Systems 00284,Government,Enterprise,Advanced,East India,2025-11-08
ORG00285,Secure Systems 00285,Telecommunications,Medium,Advanced,North India,2025-02-28
ORG00286,Secure Systems 00286,Government,Small,Intermediate,Central India,2024-12-19
ORG00287,Secure Systems 00287,Telecommunications,Small,Basic,East India,2025-05-13
ORG00288,Secure Systems 00288,Finance,Small,Basic,West India,2025-09-05
ORG00289,Secure Systems 00289,Technology,Large,Intermediate,West India,2024-08-04
ORG00290,Secure Systems 00290,Finance,Enterprise,Advanced,East India,2024-05-02
ORG00291,Secure Systems 00291,Technology,Enterprise,Advanced,South India,2024-06-28
ORG00292,Secure Systems 00292,Manufacturing,Small,Intermediate,North India,2025-05-27
ORG00293,Secure Systems 00293,Finance,Enterprise,Basic,West India,2025-03-22
ORG00294,Secure Systems 00294,Government,Enterprise,Advanced,East India,2025-08-12
ORG00295,Secure Systems 00295,Healthcare,Enterprise,Basic,West India,2024-10-23
ORG00296,Secure Systems 00296,Education,Large,Basic,East India,2024-06-24
ORG00297,Secure Systems 00297,Healthcare,Medium,Intermediate,Central India,2026-05-14
ORG00298,Secure Systems 00298,Healthcare,Enterprise,Intermediate,West India,2025-02-14
ORG00299,Secure Systems 00299,Manufacturing,Medium,Basic,Central India,2024-08-14
ORG00300,Secure Systems 00300,Healthcare,Medium,Intermediate,West India,2025-10-10
ORG00301,Secure Systems 00301,Technology,Medium,Basic,South India,2026-01-14
ORG00302,Secure Systems 00302,Retail,Medium,Advanced,South India,2024-09-19
ORG00303,Secure Systems 00303,Healthcare,Medium,Advanced,East India,2026-02-17
ORG00304,Secure Systems 00304,Education,Large,Advanced,West India,2025-04-20
ORG00305,Secure Systems 00305,Education,Small,Intermediate,East India,2024-06-03
ORG00306,Secure Systems 00306,Telecommunications,Large,Advanced,North India,2025-10-08
ORG00307,Secure Systems 00307,Healthcare,Large,Intermediate,East India,2024-12-26
ORG00308,Secure Systems 00308,Finance,Large,Intermediate,North India,2024-02-08
ORG00309,Secure Systems 00309,Healthcare,Enterprise,Intermediate,Central India,2025-10-22
ORG00310,Secure Systems 00310,Finance,Enterprise,Advanced,South India,2025-07-21
ORG00311,Secure Systems 00311,Education,Medium,Basic,East India,2024-11-25
ORG00312,Secure Systems 00312,Manufacturing,Small,Advanced,South India,2024-04-15
ORG00313,Secure Systems 00313,Retail,Enterprise,Intermediate,Central India,2024-02-10
ORG00314,Secure Systems 00314,Technology,Large,Intermediate,West India,2025-06-19
ORG00315,Secure Systems 00315,Government,Large,Advanced,Central India,2025-01-31
ORG00316,Secure Systems 00316,Manufacturing,Small,Intermediate,North India,2024-02-23
ORG00317,Secure Systems 00317,Government,Large,Intermediate,Central India,2025-07-25
ORG00318,Secure Systems 00318,Technology,Large,Basic,Central India,2026-06-13
ORG00319,Secure Systems 00319,Technology,Large,Intermediate,East India,2025-11-10
ORG00320,Secure Systems 00320,Healthcare,Large,Advanced,East India,2024-05-12
ORG00321,Secure Systems 00321,Manufacturing,Medium,Advanced,Central India,2025-10-20
ORG00322,Secure Systems 00322,Government,Large,Basic,West India,2024-04-05
ORG00323,Secure Systems 00323,Technology,Medium,Intermediate,East India,2024-11-12
ORG00324,Secure Systems 00324,Retail,Medium,Basic,North India,2024-07-15
ORG00325,Secure Systems 00325,Healthcare,Small,Advanced,West India,2024-10-29
ORG00326,Secure Systems 00326,Technology,Enterprise,Basic,South India,2026-06-16
ORG00327,Secure Systems 00327,Technology,Enterprise,Basic,East India,2024-07-04
ORG00328,Secure Systems 00328,Retail,Enterprise,Advanced,West India,2025-01-08
ORG00329,Secure Systems 00329,Education,Medium,Advanced,South India,2026-02-09
ORG00330,Secure Systems 00330,Education,Medium,Intermediate,Central India,2024-11-12
ORG00331,Secure Systems 00331,Education,Large,Intermediate,Central India,2025-03-27
ORG00332,Secure Systems 00332,Government,Medium,Basic,Central India,2025-06-24
ORG00333,Secure Systems 00333,Telecommunications,Small,Advanced,East India,2024-05-21
ORG00334,Secure Systems 00334,Manufacturing,Small,Advanced,Central India,2026-06-14
ORG00335,Secure Systems 00335,Healthcare,Large,Basic,South India,2026-05-21
ORG00336,Secure Systems 00336,Education,Medium,Intermediate,North India,2024-10-06
ORG00337,Secure Systems 00337,Education,Large,Basic,East India,2024-08-15
ORG00338,Secure Systems 00338,Government,Large,Basic,East India,2024-02-24
ORG00339,Secure Systems 00339,Manufacturing,Medium,Basic,West India,2024-03-24
ORG00340,Secure Systems 00340,Manufacturing,Medium,Basic,North India,2024-04-11
ORG00341,Secure Systems 00341,Education,Medium,Advanced,East India,2024-10-20
ORG00342,Secure Systems 00342,Finance,Small,Basic,West India,2025-04-04
ORG00343,Secure Systems 00343,Technology,Enterprise,Basic,West India,2024-08-08
ORG00344,Secure Systems 00344,Telecommunications,Small,Basic,South India,2024-08-31
ORG00345,Secure Systems 00345,Education,Small,Basic,East India,2025-03-05
ORG00346,Secure Systems 00346,Finance,Medium,Advanced,South India,2025-09-03
ORG00347,Secure Systems 00347,Government,Small,Advanced,West India,2024-10-25
ORG00348,Secure Systems 00348,Government,Medium,Advanced,North India,2024-09-03
ORG00349,Secure Systems 00349,Manufacturing,Small,Advanced,Central India,2025-06-20
