activity_id,asset_id,timestamp,event_count,log_sources_active,network_events,authentication_events,status
ACT00071,AST04887,2026-08-23 04:00:00,1182,7,179,122,Normal
ACT00072,AST12076,2026-08-05 03:00:00,675,7,181,39,Normal
ACT00073,AST15039,2026-09-01 21:00:00,1156,4,344,82,Normal
ACT00074,AST15311,2026-08-31 12:00:00,690,6,128,37,Normal
ACT00075,AST05871,2026-08-28 20:00:00,616,8,117,86,Normal
ACT00076,AST08867,2026-09-02 18:00:00,605,3,239,100,Normal
ACT00077,AST04985,2026-08-27 21:00:00,1031,4,154,163,Normal
ACT00078,AST13554,2026-08-22 04:00:00,498,2,209,48,Normal
ACT00079,AST23991,2026-08-28 15:00:00,591,3,224,34,Normal
ACT00080,AST09374,2026-08-25 18:00:00,571,7,132,95,Normal
ACT00081,AST16772,2026-08-18 00:00:00,1236,3,499,99,Normal
ACT00082,AST22805,2026-08-04 08:00:00,478,4,144,85,Normal
ACT00083,AST07602,2026-08-11 01:00:00,550,5,220,85,Normal
ACT00084,AST18163,2026-08-02 16:00:00,758,7,162,105,Normal
ACT00085,AST06548,2026-09-04 23:00:00,732,3,139,37,Normal
ACT00086,AST18379,2026-08-26 13:00:00,462,6,192,22,Normal
ACT00087,AST05615,2026-08-14 14:00:00,828,2,350,120,Normal
ACT00088,AST23699,2026-08-20 04:00:00,1493,8,477,152,Normal
ACT00089,AST04011,2026-08-11 11:00:00,715,8,272,128,Normal
ACT00090,AST03268,2026-08-25 18:00:00,421,2,146,18,Normal
ACT00091,AST21542,2026-08-20 12:00:00,1125,8,174,74,Normal
ACT00092,AST21045,2026-08-30 11:00:00,350,2,122,54,Normal
ACT00093,AST22658,2026-08-19 16:00:00,358,2,132,20,Normal
ACT00094,AST06494,2026-08-05 19:00:00,545,3,230,79,Normal
ACT00095,AST12026,2026-09-06 16:00:00,637,3,230,54,Normal
ACT00096,AST24113,2026-08-20 19:00:00,711,6,203,39,Normal
ACT00097,AST07960,2026-08-17 10:00:00,236,7,45,40,Normal
ACT00098,AST10668,2026-08-21 12:00:00,585,4,168,78,Normal
ACT00099,AST22012,2026-09-09 12:00:00,853,5,304,89,Normal
ACT00100,AST16886,2026-08-18 01:00:00,494,2,165,53,Normal
ACT00101,AST12269,2026-08-14 01:00:00,409,3,87,44,Normal
ACT00102,AST17399,2026-08-05 23:00:00,1355,7,398,69,Normal
ACT00103,AST00838,2026-09-09 19:00:00,479,8,87,15,Normal
ACT00104,AST00895,2026-08-03 01:00:00,985,2,321,139,Normal
ACT00105,AST16359,2026-08-25 00:00:00,445,3,139,45,Normal
ACT00106,AST21323,2026-08-28 03:00:00,402,5,140,18,Normal
ACT00107,AST14022,2026-08-30 21:00:00,319,7,113,23,Normal
ACT00108,AST01744,2026-08-04 11:00:00,648,7,284,109,Normal
ACT00109,AST05926,2026-08-08 07:00:00,443,5,173,66,Normal
ACT00110,AST11613,2026-08-03 15:00:00,474,8,144,72,Normal
ACT00111,AST06500,2026-09-05 23:00:00,316,8,109,12,Normal
ACT00112,AST07542,2026-08-16 13:00:00,389,5,130,16,Normal
ACT00113,AST10258,2026-08-17 22:00:00,334,4,76,31,Normal
ACT00114,AST20924,2026-08-29 17:00:00,1176,8,186,142,Normal
ACT00115,AST10007,2026-08-18 03:00:00,589,4,96,32,Normal
ACT00116,AST03332,2026-08-17 20:00:00,635,4,189,21,Normal
ACT00117,AST19256,2026-08-07 09:00:00,542,7,222,48,Normal
ACT00118,AST18269,2026-08-28 09:00:00,520,2,82,70,Normal
ACT00119,AST13611,2026-08-19 14:00:00,372,8,70,30,Normal
ACT00120,AST03873,2026-08-24 16:00:00,762,6,268,39,Normal
ACT00121,AST08126,2026-09-08 05:00:00,705,5,262,83,Normal
ACT00122,AST15938,2026-09-05 08:00:00,607,2,151,55,Normal
ACT00123,AST10915,2026-08-25 08:00:00,486,2,189,57,Normal
ACT00124,AST13921,2026-08-06 15:00:00,990,2,180,75,Normal
ACT00125,AST11807,2026-08-21 17:00:00,290,8,126,52,Normal
ACT00126,AST17522,2026-08-31 08:00:00,430,4,160,66,Normal
ACT00127,AST13515,2026-09-03 08:00:00,1868,4,281,78,Normal
ACT00128,AST10746,2026-08-30 14:00:00,462,6,80,35,Normal
ACT00129,AST13649,2026-08-20 00:00:00,530,8,166,33,Normal
ACT00130,AST24781,2026-09-02 01:00:00,757,8,311,118,Normal
ACT00131,AST07560,2026-09-03 21:00:00,316,5,128,47,Normal
ACT00132,AST07601,2026-08-12 21:00:00,512,4,153,77,Normal
ACT00133,AST19908,2026-08-28 12:00:00,312,3,130,16,Normal
ACT00134,AST10670,2026-09-03 12:00:00,696,4,219,98,Normal
ACT00135,AST15536,2026-08-28 20:00:00,618,8,235,56,Normal
ACT00136,AST05525,2026-08-07 13:00:00,877,2,342,115,Normal
ACT00137,AST01066,2026-08-10 11:00:00,848,5,140,124,Normal
ACT00138,AST17893,2026-08-31 00:00:00,762,8,190,129,Normal
ACT00139,AST10028,2026-08-13 10:00:00,840,2,214,47,Normal
ACT00140,AST02899,2026-09-03 17:00:00,1936,6,460,295,Normal
ACT00141,AST03357,2026-09-05 23:00:00,503,2,200,32,Normal
ACT00142,AST17549,2026-09-06 20:00:00,709,6,275,112,Normal
ACT00143,AST12012,2026-08-22 02:00:00,1175,4,383,157,Normal
ACT00144,AST11209,2026-08-21 23:00:00,608,8,149,77,Normal
ACT00145,AST13088,2026-08-31 06:00:00,934,5,327,55,Normal
ACT00146,AST23771,2026-08-28 21:00:00,238,6,90,17,Normal
ACT00147,AST04765,2026-08-17 15:00:00,1388,4,212,75,Normal
ACT00148,AST16686,2026-08-29 18:00:00,384,7,89,60,Normal
ACT00149,AST09128,2026-08-17 11:00:00,275,2,86,33,Normal
ACT00150,AST13765,2026-08-25 10:00:00,892,2,398,38,Normal
ACT00151,AST10372,2026-09-06 10:00:00,552,4,87,23,Normal
ACT00152,AST14932,2026-08-03 09:00:00,1029,6,394,45,Normal
ACT00153,AST17422,2026-08-01 07:00:00,273,8,106,31,Normal
ACT00154,AST00918,2026-08-12 08:00:00,711,4,176,115,Normal
ACT00155,AST07711,2026-08-07 01:00:00,603,4,235,48,Normal
ACT00156,AST18293,2026-08-22 12:00:00,827,8,261,49,Normal
ACT00157,AST03107,2026-08-03 14:00:00,517,3,218,18,Normal
ACT00158,AST04582,2026-08-09 17:00:00,593,2,164,26,Normal
ACT00159,AST12946,2026-08-01 06:00:00,379,6,107,66,Normal
ACT00160,AST16571,2026-08-02 02:00:00,639,8,158,105,Normal
ACT00161,AST00241,2026-08-23 23:00:00,898,7,166,148,Normal
ACT00162,AST05108,2026-09-01 18:00:00,1148,8,186,71,Normal
ACT00163,AST11331,2026-08-05 05:00:00,521,4,230,35,Normal
ACT00164,AST02458,2026-08-14 22:00:00,344,5,147,44,Normal
ACT00165,AST16284,2026-08-23 16:00:00,586,2,223,100,Normal
ACT00166,AST15591,2026-08-21 13:00:00,366,4,79,47,Normal
ACT00167,AST17910,2026-08-09 03:00:00,751,6,166,113,Normal
ACT00168,AST01851,2026-09-08 15:00:00,820,6,242,45,Normal
ACT00169,AST01830,2026-08-18 13:00:00,702,6,260,100,Normal
ACT00170,AST10381,2026-08-13 02:00:00,1915,8,632,334,Normal
ACT00171,AST10727,2026-09-02 23:00:00,852,3,169,118,Normal
ACT00172,AST13664,2026-08-31 17:00:00,896,2,205,28,Normal
ACT00173,AST13904,2026-08-02 15:00:00,0,0,0,0,Silent
ACT00174,AST10889,2026-08-08 05:00:00,848,3,336,69,Normal
ACT00175,AST13697,2026-08-27 17:00:00,535,4,173,33,Normal
ACT00176,AST23950,2026-08-02 08:00:00,718,4,300,89,Normal
ACT00177,AST12746,2026-08-04 23:00:00,445,5,82,40,Normal
ACT00178,AST21269,2026-09-02 16:00:00,648,3,280,63,Normal
ACT00179,AST24819,2026-08-16 17:00:00,514,4,187,21,Normal
ACT00180,AST03046,2026-08-16 07:00:00,673,8,174,93,Normal
ACT00181,AST05838,2026-09-08 23:00:00,1252,6,525,208,Normal
ACT00182,AST19154,2026-09-05 04:00:00,964,2,208,161,Normal
ACT00183,AST14296,2026-08-02 16:00:00,592,5,122,57,Normal
ACT00184,AST24908,2026-09-08 12:00:00,1148,6,294,132,Normal
ACT00185,AST08211,2026-08-12 10:00:00,405,3,83,18,Normal
ACT00186,AST11143,2026-08-28 23:00:00,560,8,121,48,Normal
ACT00187,AST03515,2026-08-21 21:00:00,517,4,206,44,Normal
ACT00188,AST03786,2026-09-07 15:00:00,1034,5,175,47,Normal
ACT00189,AST05250,2026-09-09 16:00:00,621,7,146,61,Normal
ACT00190,AST15477,2026-08-18 08:00:00,2261,7,999,280,Normal
ACT00191,AST04759,2026-08-02 18:00:00,1640,3,698,88,Normal
ACT00192,AST18182,2026-08-07 03:00:00,1399,7,540,157,Normal
ACT00193,AST16647,2026-08-01 13:00:00,961,2,258,31,Normal
ACT00194,AST04804,2026-08-13 08:00:00,581,5,169,23,Normal
ACT00195,AST14538,2026-08-24 20:00:00,1153,2,366,135,Normal
ACT00196,AST17031,2026-08-20 18:00:00,362,2,153,41,Normal
ACT00197,AST10741,2026-08-19 23:00:00,1180,5,259,121,Normal
ACT00198,AST08809,2026-08-04 15:00:00,531,7,216,47,Normal
ACT00199,AST24261,2026-08-01 04:00:00,412,7,64,62,Normal
ACT00200,AST17265,2026-09-08 01:00:00,971,7,361,120,Normal
ACT00201,AST12281,2026-08-05 15:00:00,562,4,165,50,Normal
ACT00202,AST16280,2026-08-11 10:00:00,907,4,154,107,Normal
ACT00203,AST23743,2026-09-06 02:00:00,317,4,105,17,Normal
ACT00204,AST20398,2026-09-01 10:00:00,237,6,36,38,Normal
ACT00205,AST03127,2026-08-29 07:00:00,517,8,153,28,Normal
ACT00206,AST14611,2026-09-04 20:00:00,906,3,280,55,Normal
ACT00207,AST18581,2026-08-09 16:00:00,444,8,175,36,Normal
ACT00208,AST21310,2026-08-07 21:00:00,433,7,183,60,Normal
ACT00209,AST06408,2026-08-21 18:00:00,703,6,166,90,Normal
ACT00210,AST14547,2026-08-01 17:00:00,1224,4,501,156,Normal
ACT00211,AST05209,2026-08-09 08:00:00,523,8,143,72,Normal
ACT00212,AST15541,2026-08-14 05:00:00,607,8,237,37,Normal
ACT00213,AST09780,2026-09-04 11:00:00,876,7,182,94,Normal
ACT00214,AST11458,2026-09-08 17:00:00,965,4,294,121,Normal
ACT00215,AST13316,2026-08-03 12:00:00,766,4,268,98,Normal
ACT00216,AST05218,2026-08-03 07:00:00,1251,6,460,74,Normal
ACT00217,AST05676,2026-08-04 08:00:00,533,3,204,20,Normal
ACT00218,AST23876,2026-08-26 21:00:00,539,7,155,46,Normal
ACT00219,AST14346,2026-09-08 10:00:00,1002,4,275,101,Normal
ACT00220,AST00706,2026-08-28 23:00:00,810,4,299,99,Normal
ACT00221,AST21334,2026-08-25 06:00:00,647,2,166,82,Normal
ACT00222,AST03754,2026-09-09 14:00:00,832,5,267,73,Normal
ACT00223,AST01179,2026-08-17 18:00:00,1676,2,677,169,Normal
ACT00224,AST19517,2026-08-04 20:00:00,1162,7,177,71,Normal
ACT00225,AST02413,2026-08-27 20:00:00,499,2,90,16,Normal
ACT00226,AST09145,2026-08-04 08:00:00,547,3,109,93,Normal
ACT00227,AST16817,2026-08-01 17:00:00,791,2,188,128,Normal
ACT00228,AST08729,2026-08-17 20:00:00,953,3,313,128,Normal
ACT00229,AST09482,2026-08-25 23:00:00,914,5,380,41,Normal
ACT00230,AST09394,2026-09-06 02:00:00,510,7,86,74,Normal
ACT00231,AST12726,2026-09-08 18:00:00,412,4,121,49,Normal
ACT00232,AST05836,2026-08-16 14:00:00,629,8,118,88,Normal
ACT00233,AST24239,2026-09-09 10:00:00,566,7,211,57,Normal
ACT00234,AST10083,2026-08-14 21:00:00,933,5,395,108,Normal
ACT00235,AST03503,2026-09-09 19:00:00,538,7,157,17,Normal
ACT00236,AST03464,2026-08-04 14:00:00,525,2,107,67,Normal
ACT00237,AST22185,2026-09-02 13:00:00,1191,4,288,45,Normal
ACT00238,AST05791,2026-08-27 01:00:00,609,4,241,23,Normal
ACT00239,AST00800,2026-09-01 10:00:00,262,8,68,36,Normal
ACT00240,AST19616,2026-09-06 16:00:00,339,8,64,60,Normal
ACT00241,AST06277,2026-09-08 02:00:00,573,6,150,42,Normal
ACT00242,AST24900,2026-08-11 10:00:00,1124,5,393,40,Normal
ACT00243,AST14370,2026-08-15 19:00:00,833,6,369,82,Normal
ACT00244,AST03943,2026-08-02 19:00:00,563,3,237,53,Normal
ACT00245,AST12134,2026-09-07 04:00:00,684,3,269,44,Normal
ACT00246,AST20764,2026-09-04 03:00:00,901,4,290,67,Normal
ACT00247,AST14419,2026-09-06 10:00:00,307,6,133,42,Normal
ACT00248,AST07602,2026-09-09 01:00:00,407,2,149,34,Normal
ACT00249,AST24333,2026-08-07 07:00:00,726,8,295,57,Normal
ACT00250,AST10344,2026-08-09 01:00:00,541,8,239,96,Normal
ACT00251,AST17798,2026-08-02 16:00:00,948,2,234,37,Normal
ACT00252,AST15909,2026-08-02 07:00:00,1248,2,225,149,Normal
ACT00253,AST16960,2026-08-21 14:00:00,493,4,155,53,Normal
ACT00254,AST07977,2026-08-27 20:00:00,421,3,125,60,Normal
ACT00255,AST07223,2026-08-31 06:00:00,356,7,154,59,Normal
ACT00256,AST14721,2026-08-14 01:00:00,335,6,97,18,Normal
ACT00257,AST21291,2026-08-29 18:00:00,584,4,134,30,Normal
ACT00258,AST02549,2026-08-11 13:00:00,676,6,279,72,Normal
ACT00259,AST20864,2026-08-25 01:00:00,642,6,97,35,Normal
ACT00260,AST24632,2026-08-05 00:00:00,762,5,117,130,Normal
ACT00261,AST13535,2026-08-08 02:00:00,950,6,232,68,Normal
ACT00262,AST20774,2026-08-26 16:00:00,624,5,156,39,Normal
ACT00263,AST24394,2026-08-04 04:00:00,509,7,201,89,Normal
ACT00264,AST24045,2026-08-06 23:00:00,1554,8,310,159,Normal
ACT00265,AST18438,2026-08-24 07:00:00,822,2,282,41,Normal
ACT00266,AST01737,2026-08-27 17:00:00,463,2,94,76,Normal
ACT00267,AST04810,2026-08-05 08:00:00,887,3,231,57,Normal
ACT00268,AST08615,2026-08-06 00:00:00,578,3,231,54,Normal
ACT00269,AST24876,2026-08-02 07:00:00,481,3,149,63,Normal
ACT00270,AST03570,2026-08-16 15:00:00,294,3,50,27,Normal
ACT00271,AST16070,2026-08-30 19:00:00,306,5,100,42,Normal
ACT00272,AST00639,2026-09-07 11:00:00,694,4,231,59,Normal
ACT00273,AST05971,2026-09-04 23:00:00,578,4,189,29,Normal
ACT00274,AST16007,2026-08-03 20:00:00,723,7,322,129,Normal
ACT00275,AST14066,2026-09-03 06:00:00,656,3,110,86,Normal
ACT00276,AST06866,2026-08-29 01:00:00,504,8,193,27,Normal
ACT00277,AST19352,2026-08-14 18:00:00,582,2,128,39,Normal
ACT00278,AST19672,2026-08-14 04:00:00,473,4,169,38,Normal
ACT00279,AST03781,2026-09-04 22:00:00,653,6,126,31,Normal
ACT00280,AST10504,2026-08-28 06:00:00,645,2,229,61,Normal
ACT00281,AST03455,2026-08-03 06:00:00,517,4,167,74,Normal
ACT00282,AST06552,2026-08-02 12:00:00,1659,2,523,182,Normal
ACT00283,AST15208,2026-08-10 02:00:00,975,4,260,90,Normal
ACT00284,AST02104,2026-08-14 12:00:00,565,8,185,81,Normal
ACT00285,AST18648,2026-08-01 11:00:00,868,8,340,83,Normal
ACT00286,AST10217,2026-08-13 13:00:00,866,4,163,51,Normal
ACT00287,AST06975,2026-08-06 19:00:00,917,8,214,76,Normal
ACT00288,AST16989,2026-09-05 15:00:00,1590,6,634,240,Normal
ACT00289,AST18671,2026-08-11 20:00:00,821,2,222,34,Normal
ACT00290,AST02841,2026-08-08 12:00:00,611,2,133,21,Normal
ACT00291,AST16263,2026-09-02 00:00:00,501,8,170,67,Normal
ACT00292,AST22572,2026-08-01 13:00:00,1920,3,487,74,Normal
ACT00293,AST01569,2026-08-24 16:00:00,395,6,92,38,Normal
ACT00294,AST17463,2026-08-18 02:00:00,1828,6,690,68,Normal
ACT00295,AST12708,2026-08-07 20:00:00,1937,3,352,200,Normal
ACT00296,AST07051,2026-08-01 22:00:00,880,3,339,105,Normal
ACT00297,AST07278,2026-08-01 18:00:00,491,7,84,58,Normal
ACT00298,AST10727,2026-08-11 05:00:00,602,7,237,60,Normal
ACT00299,AST03634,2026-08-18 21:00:00,337,5,148,37,Normal
ACT00300,AST24900,2026-08-20 19:00:00,497,7,205,45,Normal
ACT00301,AST01182,2026-09-04 02:00:00,528,4,224,50,Normal
ACT00302,AST19619,2026-08-31 18:00:00,888,5,217,84,Normal
ACT00303,AST11441,2026-08-20 14:00:00,570,5,174,80,Normal
ACT00304,AST19695,2026-08-11 17:00:00,669,4,227,96,Normal
ACT00305,AST12503,2026-08-02 23:00:00,690,8,217,108,Normal
ACT00306,AST00184,2026-09-02 17:00:00,497,7,101,71,Normal
ACT00307,AST17640,2026-08-23 00:00:00,401,6,177,52,Normal
ACT00308,AST22891,2026-08-05 22:00:00,372,4,131,51,Normal
ACT00309,AST18762,2026-08-23 22:00:00,1630,6,298,111,Normal
ACT00310,AST01533,2026-08-04 16:00:00,421,7,124,55,Normal
ACT00311,AST18342,2026-08-05 00:00:00,302,4,99,36,Normal
ACT00312,AST05963,2026-08-10 14:00:00,1433,6,425,218,Normal
ACT00313,AST08936,2026-08-18 19:00:00,328,2,106,50,Normal
ACT00314,AST04457,2026-09-06 17:00:00,425,2,87,42,Normal
ACT00315,AST16028,2026-08-15 17:00:00,302,3,77,50,Normal
ACT00316,AST10318,2026-08-18 15:00:00,338,5,54,36,Normal
ACT00317,AST09228,2026-08-23 12:00:00,750,4,276,77,Normal
ACT00318,AST03586,2026-08-05 11:00:00,1353,7,503,72,Normal
ACT00319,AST04847,2026-09-08 17:00:00,554,4,89,51,Normal
ACT00320,AST13689,2026-08-04 11:00:00,244,6,70,25,Normal
ACT00321,AST07828,2026-09-02 06:00:00,438,4,101,56,Normal
ACT00322,AST21537,2026-08-10 11:00:00,747,7,277,94,Normal
ACT00323,AST09981,2026-08-09 15:00:00,718,4,253,117,Normal
ACT00324,AST00022,2026-08-27 21:00:00,1228,6,469,117,Normal
ACT00325,AST11438,2026-08-17 03:00:00,657,8,228,56,Normal
ACT00326,AST14077,2026-08-07 07:00:00,786,7,254,74,Normal
ACT00327,AST13455,2026-08-05 15:00:00,725,8,193,38,Normal
ACT00328,AST13004,2026-09-08 05:00:00,1020,8,345,133,Normal
ACT00329,AST23845,2026-08-15 09:00:00,387,6,139,47,Normal
ACT00330,AST10626,2026-09-05 12:00:00,978,2,216,138,Normal
ACT00331,AST09990,2026-08-18 02:00:00,253,3,55,12,Normal
ACT00332,AST23391,2026-08-11 03:00:00,351,7,61,51,Normal
ACT00333,AST15672,2026-08-24 09:00:00,665,2,161,20,Normal
ACT00334,AST09584,2026-08-31 01:00:00,946,6,345,62,Normal
ACT00335,AST06148,2026-08-29 06:00:00,860,4,158,139,Normal
ACT00336,AST09448,2026-08-25 17:00:00,489,5,214,54,Normal
ACT00337,AST08087,2026-08-05 02:00:00,694,7,246,30,Normal
ACT00338,AST23149,2026-09-02 16:00:00,534,6,89,70,Normal
ACT00339,AST06556,2026-08-14 22:00:00,792,6,194,117,Normal
ACT00340,AST18442,2026-08-20 23:00:00,706,6,234,71,Normal
ACT00341,AST21041,2026-09-02 22:00:00,643,2,202,103,Normal
ACT00342,AST15045,2026-08-15 08:00:00,864,5,271,65,Normal
ACT00343,AST07974,2026-09-08 23:00:00,1132,3,463,123,Normal
ACT00344,AST00912,2026-08-17 22:00:00,437,5,193,28,Normal
ACT00345,AST15182,2026-08-11 14:00:00,206,7,46,27,Normal
ACT00346,AST18298,2026-08-18 11:00:00,0,0,0,0,Silent
ACT00347,AST04908,2026-09-01 02:00:00,561,2,99,77,Normal
ACT00348,AST00885,2026-08-21 15:00:00,888,7,336,135,Normal
ACT00349,AST08715,2026-08-28 22:00:00,402,7,62,33,Normal
ACT00350,AST13991,2026-08-18 15:00:00,364,5,119,56,Normal
ACT00351,AST03163,2026-08-11 19:00:00,457,6,72,57,Normal
ACT00352,AST17016,2026-08-14 23:00:00,313,7,126,34,Normal
ACT00353,AST17937,2026-08-17 04:00:00,478,3,173,24,Normal
ACT00354,AST07842,2026-08-22 17:00:00,1222,5,273,80,Normal
ACT00355,AST16092,2026-08-11 09:00:00,823,6,327,63,Normal
ACT00356,AST14913,2026-08-15 17:00:00,489,4,166,35,Normal
ACT00357,AST02254,2026-08-01 09:00:00,458,3,146,49,Normal
ACT00358,AST20317,2026-09-05 04:00:00,1285,3,467,160,Normal
ACT00359,AST23575,2026-08-09 09:00:00,421,2,176,25,Normal
ACT00360,AST03305,2026-08-07 23:00:00,689,4,129,25,Normal
ACT00361,AST23272,2026-09-08 16:00:00,642,4,224,97,Normal
ACT00362,AST17048,2026-08-25 04:00:00,452,6,69,73,Normal
ACT00363,AST12626,2026-08-09 05:00:00,983,7,278,142,Normal
ACT00364,AST24180,2026-09-05 19:00:00,639,7,258,100,Normal
ACT00365,AST15526,2026-08-29 23:00:00,882,7,176,123,Normal
ACT00366,AST08982,2026-08-02 12:00:00,918,3,190,138,Normal
ACT00367,AST14346,2026-08-16 15:00:00,753,6,149,102,Normal
ACT00368,AST01225,2026-09-02 15:00:00,1490,4,495,264,Normal
ACT00369,AST14107,2026-09-01 04:00:00,831,2,180,98,Normal
ACT00370,AST03915,2026-08-29 18:00:00,1330,3,275,116,Normal
ACT00371,AST12723,2026-08-17 14:00:00,509,4,221,61,Normal
ACT00372,AST24083,2026-08-27 03:00:00,437,4,75,16,Normal
ACT00373,AST09577,2026-08-10 10:00:00,468,3,71,44,Normal
ACT00374,AST05105,2026-08-12 15:00:00,618,2,270,93,Normal
ACT00375,AST03225,2026-08-10 08:00:00,439,6,129,19,Normal
ACT00376,AST15104,2026-08-18 08:00:00,742,4,111,107,Normal
ACT00377,AST05482,2026-08-31 02:00:00,804,2,197,65,Normal
ACT00378,AST23508,2026-08-15 05:00:00,1000,8,156,76,Normal
ACT00379,AST02272,2026-09-06 15:00:00,681,2,178,66,Normal
ACT00380,AST09589,2026-08-06 02:00:00,770,2,227,51,Normal
ACT00381,AST22528,2026-08-20 19:00:00,823,3,218,113,Normal
ACT00382,AST21699,2026-09-02 04:00:00,336,8,129,31,Normal
ACT00383,AST15129,2026-08-31 20:00:00,474,8,170,45,Normal
ACT00384,AST23887,2026-09-08 15:00:00,552,7,119,19,Normal
ACT00385,AST20888,2026-08-24 09:00:00,703,7,223,41,Normal
