asset_id,organization_id,asset_identifier,asset_name,asset_type,criticality,environment,location,status
AST00086,ORG00406,SRV-00086,Database 00086,Database,Medium,Development,Hyderabad DC,Active
AST00087,ORG00909,SRV-00087,Domain Controller 00087,Domain Controller,High,Production,Delhi DC,Active
AST00088,ORG00157,SRV-00088,Database 00088,Database,High,Production,Bengaluru DC,Active
AST00089,ORG00206,SRV-00089,Firewall 00089,Firewall,High,Development,Delhi DC,Active
AST00090,ORG00427,SRV-00090,Domain Controller 00090,Domain Controller,Low,Development,Pune DC,Active
AST00091,ORG00164,SRV-00091,Workstation 00091,Workstation,Medium,Production,Pune DC,Active
AST00092,ORG00364,SRV-00092,Workstation 00092,Workstation,High,Development,Hyderabad DC,Active
AST00093,ORG00399,SRV-00093,Database 00093,Database,Low,Development,Bengaluru DC,Active
AST00094,ORG00485,SRV-00094,Network Device 00094,Network Device,Medium,Staging,Bengaluru DC,Maintenance
AST00095,ORG00988,SRV-00095,Database 00095,Database,Low,Development,Bengaluru DC,Active
AST00096,ORG00145,SRV-00096,Network Device 00096,Network Device,High,Production,Bengaluru DC,Active
AST00097,ORG00242,SRV-00097,Workstation 00097,Workstation,Critical,Staging,Hyderabad DC,Active
AST00098,ORG00374,SRV-00098,Cloud Instance 00098,Cloud Instance,Critical,Production,Hyderabad DC,Active
AST00099,ORG00139,SRV-00099,Server 00099,Server,Medium,Development,Delhi DC,Active
AST00100,ORG00544,SRV-00100,Workstation 00100,Workstation,Critical,Development,Pune DC,Active
AST00101,ORG00075,SRV-00101,Domain Controller 00101,Domain Controller,Low,Development,Mumbai DC,Active
AST00102,ORG00144,SRV-00102,Network Device 00102,Network Device,Medium,Production,Bengaluru DC,Active
AST00103,ORG00852,SRV-00103,Database 00103,Database,Medium,Production,Bengaluru DC,Active
AST00104,ORG00854,SRV-00104,Cloud Instance 00104,Cloud Instance,High,Staging,Bengaluru DC,Active
AST00105,ORG00014,SRV-00105,Firewall 00105,Firewall,Medium,Production,Bengaluru DC,Active
AST00106,ORG00223,SRV-00106,Application 00106,Application,High,Development,Hyderabad DC,Active
AST00107,ORG00617,SRV-00107,Application 00107,Application,Medium,Production,Pune DC,Active
AST00108,ORG00904,SRV-00108,Server 00108,Server,Medium,Staging,Pune DC,Active
AST00109,ORG00716,SRV-00109,Firewall 00109,Firewall,Medium,Development,Bengaluru DC,Active
AST00110,ORG00230,SRV-00110,Domain Controller 00110,Domain Controller,Medium,Staging,Bengaluru DC,Active
AST00111,ORG00597,SRV-00111,Database 00111,Database,Critical,Production,Pune DC,Active
AST00112,ORG00372,SRV-00112,Database 00112,Database,High,Staging,Hyderabad DC,Active
AST00113,ORG00842,SRV-00113,Server 00113,Server,High,Production,Delhi DC,Active
AST00114,ORG00955,SRV-00114,Firewall 00114,Firewall,Medium,Production,Hyderabad DC,Active
AST00115,ORG00264,SRV-00115,Firewall 00115,Firewall,Medium,Development,Mumbai DC,Active
AST00116,ORG00169,SRV-00116,Network Device 00116,Network Device,Medium,Production,Delhi DC,Active
AST00117,ORG00089,SRV-00117,Firewall 00117,Firewall,Low,Staging,Delhi DC,Active
AST00118,ORG00816,SRV-00118,Application 00118,Application,High,Development,Mumbai DC,Active
AST00119,ORG00686,SRV-00119,Workstation 00119,Workstation,Medium,Development,Mumbai DC,Active
AST00120,ORG00667,SRV-00120,Domain Controller 00120,Domain Controller,Medium,Development,Pune DC,Active
AST00121,ORG00385,SRV-00121,Application 00121,Application,Medium,Staging,Hyderabad DC,Maintenance
AST00122,ORG00378,SRV-00122,Server 00122,Server,Medium,Development,Pune DC,Active
AST00123,ORG00925,SRV-00123,Network Device 00123,Network Device,High,Staging,Pune DC,Active
AST00124,ORG00333,SRV-00124,Database 00124,Database,Critical,Production,Pune DC,Active
AST00125,ORG00606,SRV-00125,Domain Controller 00125,Domain Controller,Medium,Staging,Hyderabad DC,Active
AST00126,ORG00316,SRV-00126,Cloud Instance 00126,Cloud Instance,High,Production,Bengaluru DC,Active
AST00127,ORG00234,SRV-00127,Firewall 00127,Firewall,Critical,Production,Mumbai DC,Active
AST00128,ORG00644,SRV-00128,Cloud Instance 00128,Cloud Instance,Critical,Staging,Pune DC,Active
AST00129,ORG00726,SRV-00129,Application 00129,Application,High,Staging,Hyderabad DC,Active
AST00130,ORG00055,SRV-00130,Database 00130,Database,Critical,Production,Delhi DC,Active
AST00131,ORG00897,SRV-00131,Domain Controller 00131,Domain Controller,Medium,Staging,Hyderabad DC,Active
AST00132,ORG00725,SRV-00132,Database 00132,Database,Medium,Staging,Delhi DC,Active
AST00133,ORG00646,SRV-00133,Application 00133,Application,Critical,Production,Hyderabad DC,Maintenance
AST00134,ORG00934,SRV-00134,Workstation 00134,Workstation,Medium,Development,Delhi DC,Active
AST00135,ORG00512,SRV-00135,Domain Controller 00135,Domain Controller,High,Production,Hyderabad DC,Active
AST00136,ORG00063,SRV-00136,Firewall 00136,Firewall,Low,Production,Mumbai DC,Active
AST00137,ORG00901,SRV-00137,Server 00137,Server,Low,Development,Hyderabad DC,Active
AST00138,ORG00959,SRV-00138,Domain Controller 00138,Domain Controller,High,Staging,Delhi DC,Active
AST00139,ORG00122,SRV-00139,Application 00139,Application,Low,Development,Bengaluru DC,Active
AST00140,ORG00015,SRV-00140,Firewall 00140,Firewall,Medium,Production,Bengaluru DC,Active
AST00141,ORG00558,SRV-00141,Workstation 00141,Workstation,Critical,Staging,Bengaluru DC,Active
AST00142,ORG00292,SRV-00142,Server 00142,Server,High,Development,Hyderabad DC,Active
AST00143,ORG00624,SRV-00143,Server 00143,Server,High,Production,Pune DC,Active
AST00144,ORG00440,SRV-00144,Workstation 00144,Workstation,Medium,Staging,Hyderabad DC,Active
AST00145,ORG00083,SRV-00145,Cloud Instance 00145,Cloud Instance,Medium,Production,Mumbai DC,Active
AST00146,ORG00877,SRV-00146,Cloud Instance 00146,Cloud Instance,Medium,Production,Hyderabad DC,Active
AST00147,ORG00602,SRV-00147,Network Device 00147,Network Device,High,Production,Pune DC,Maintenance
AST00148,ORG00119,SRV-00148,Cloud Instance 00148,Cloud Instance,Medium,Staging,Mumbai DC,Active
AST00149,ORG00115,SRV-00149,Database 00149,Database,Critical,Production,Bengaluru DC,Active
AST00150,ORG00229,SRV-00150,Workstation 00150,Workstation,High,Staging,Pune DC,Active
AST00151,ORG00474,SRV-00151,Workstation 00151,Workstation,Medium,Staging,Pune DC,Active
AST00152,ORG00633,SRV-00152,Domain Controller 00152,Domain Controller,Medium,Development,Bengaluru DC,Active
AST00153,ORG00374,SRV-00153,Server 00153,Server,Medium,Development,Pune DC,Active
AST00154,ORG00645,SRV-00154,Application 00154,Application,Low,Production,Delhi DC,Active
AST00155,ORG00235,SRV-00155,Firewall 00155,Firewall,Critical,Production,Bengaluru DC,Active
AST00156,ORG00784,SRV-00156,Firewall 00156,Firewall,High,Staging,Mumbai DC,Active
AST00157,ORG00191,SRV-00157,Database 00157,Database,High,Production,Delhi DC,Active
AST00158,ORG00668,SRV-00158,Workstation 00158,Workstation,High,Production,Mumbai DC,Active
AST00159,ORG00980,SRV-00159,Firewall 00159,Firewall,Medium,Staging,Hyderabad DC,Active
AST00160,ORG00597,SRV-00160,Database 00160,Database,Medium,Staging,Bengaluru DC,Active
AST00161,ORG00921,SRV-00161,Server 00161,Server,High,Staging,Mumbai DC,Active
AST00162,ORG00505,SRV-00162,Application 00162,Application,Critical,Staging,Delhi DC,Active
AST00163,ORG00459,SRV-00163,Domain Controller 00163,Domain Controller,High,Development,Hyderabad DC,Active
AST00164,ORG00813,SRV-00164,Firewall 00164,Firewall,High,Staging,Delhi DC,Active
AST00165,ORG00605,SRV-00165,Workstation 00165,Workstation,Medium,Development,Pune DC,Active
AST00166,ORG00692,SRV-00166,Server 00166,Server,High,Production,Hyderabad DC,Active
AST00167,ORG00130,SRV-00167,Firewall 00167,Firewall,High,Development,Delhi DC,Active
AST00168,ORG00597,SRV-00168,Domain Controller 00168,Domain Controller,Medium,Production,Delhi DC,Active
AST00169,ORG00909,SRV-00169,Network Device 00169,Network Device,High,Staging,Hyderabad DC,Active
AST00170,ORG00004,SRV-00170,Application 00170,Application,Medium,Staging,Mumbai DC,Active
AST00171,ORG00022,SRV-00171,Application 00171,Application,Medium,Staging,Mumbai DC,Active
AST00172,ORG00437,SRV-00172,Domain Controller 00172,Domain Controller,High,Production,Delhi DC,Active
AST00173,ORG00677,SRV-00173,Network Device 00173,Network Device,Critical,Development,Mumbai DC,Active
AST00174,ORG00818,SRV-00174,Workstation 00174,Workstation,High,Production,Pune DC,Active
AST00175,ORG00660,SRV-00175,Database 00175,Database,Critical,Production,Bengaluru DC,Active
AST00176,ORG00926,SRV-00176,Domain Controller 00176,Domain Controller,High,Production,Pune DC,Active
AST00177,ORG00317,SRV-00177,Application 00177,Application,Critical,Development,Pune DC,Active
AST00178,ORG00007,SRV-00178,Domain Controller 00178,Domain Controller,High,Development,Mumbai DC,Active
AST00179,ORG00512,SRV-00179,Application 00179,Application,Medium,Production,Pune DC,Active
AST00180,ORG00807,SRV-00180,Database 00180,Database,High,Development,Delhi DC,Active
AST00181,ORG00560,SRV-00181,Server 00181,Server,Medium,Development,Pune DC,Active
AST00182,ORG00518,SRV-00182,Workstation 00182,Workstation,Medium,Production,Bengaluru DC,Active
AST00183,ORG00182,SRV-00183,Network Device 00183,Network Device,Medium,Development,Pune DC,Active
AST00184,ORG00061,SRV-00184,Workstation 00184,Workstation,High,Development,Mumbai DC,Active
AST00185,ORG00022,SRV-00185,Database 00185,Database,High,Staging,Mumbai DC,Active
AST00186,ORG00749,SRV-00186,Network Device 00186,Network Device,Low,Production,Hyderabad DC,Active
AST00187,ORG00644,SRV-00187,Database 00187,Database,Critical,Production,Mumbai DC,Active
AST00188,ORG00664,SRV-00188,Database 00188,Database,Critical,Staging,Pune DC,Active
AST00189,ORG00576,SRV-00189,Domain Controller 00189,Domain Controller,Low,Production,Bengaluru DC,Active
AST00190,ORG00511,SRV-00190,Database 00190,Database,Critical,Production,Bengaluru DC,Active
AST00191,ORG00537,SRV-00191,Workstation 00191,Workstation,High,Staging,Mumbai DC,Active
AST00192,ORG00918,SRV-00192,Workstation 00192,Workstation,Medium,Production,Delhi DC,Active
AST00193,ORG00226,SRV-00193,Server 00193,Server,Low,Production,Mumbai DC,Active
AST00194,ORG00773,SRV-00194,Database 00194,Database,Medium,Staging,Pune DC,Active
AST00195,ORG00819,SRV-00195,Server 00195,Server,High,Development,Hyderabad DC,Active
AST00196,ORG00545,SRV-00196,Cloud Instance 00196,Cloud Instance,Critical,Production,Bengaluru DC,Active
AST00197,ORG00101,SRV-00197,Workstation 00197,Workstation,Medium,Production,Hyderabad DC,Active
AST00198,ORG00333,SRV-00198,Domain Controller 00198,Domain Controller,Critical,Staging,Mumbai DC,Active
AST00199,ORG00196,SRV-00199,Workstation 00199,Workstation,Low,Development,Hyderabad DC,Active
AST00200,ORG00092,SRV-00200,Workstation 00200,Workstation,Medium,Staging,Pune DC,Active
AST00201,ORG00662,SRV-00201,Application 00201,Application,High,Production,Bengaluru DC,Active
AST00202,ORG00790,SRV-00202,Domain Controller 00202,Domain Controller,Medium,Staging,Hyderabad DC,Active
AST00203,ORG00700,SRV-00203,Firewall 00203,Firewall,Critical,Production,Bengaluru DC,Active
AST00204,ORG00831,SRV-00204,Server 00204,Server,Medium,Staging,Bengaluru DC,Active
AST00205,ORG00908,SRV-00205,Database 00205,Database,High,Staging,Bengaluru DC,Inactive
AST00206,ORG00465,SRV-00206,Application 00206,Application,High,Production,Bengaluru DC,Maintenance
AST00207,ORG00815,SRV-00207,Firewall 00207,Firewall,High,Production,Pune DC,Active
AST00208,ORG00809,SRV-00208,Network Device 00208,Network Device,High,Development,Delhi DC,Active
AST00209,ORG00522,SRV-00209,Server 00209,Server,High,Staging,Delhi DC,Active
AST00210,ORG00246,SRV-00210,Workstation 00210,Workstation,Medium,Development,Delhi DC,Active
AST00211,ORG00785,SRV-00211,Network Device 00211,Network Device,Medium,Production,Pune DC,Active
AST00212,ORG00354,SRV-00212,Database 00212,Database,High,Development,Bengaluru DC,Active
AST00213,ORG00909,SRV-00213,Application 00213,Application,Medium,Production,Bengaluru DC,Active
AST00214,ORG00235,SRV-00214,Network Device 00214,Network Device,Medium,Staging,Pune DC,Active
AST00215,ORG00633,SRV-00215,Network Device 00215,Network Device,Medium,Development,Mumbai DC,Active
AST00216,ORG00971,SRV-00216,Workstation 00216,Workstation,Medium,Production,Bengaluru DC,Maintenance
AST00217,ORG00914,SRV-00217,Domain Controller 00217,Domain Controller,Medium,Development,Delhi DC,Active
AST00218,ORG00323,SRV-00218,Server 00218,Server,Medium,Development,Mumbai DC,Active
AST00219,ORG00247,SRV-00219,Database 00219,Database,Critical,Staging,Pune DC,Active
AST00220,ORG00682,SRV-00220,Application 00220,Application,High,Production,Bengaluru DC,Active
AST00221,ORG00411,SRV-00221,Server 00221,Server,High,Production,Bengaluru DC,Active
AST00222,ORG00300,SRV-00222,Cloud Instance 00222,Cloud Instance,Critical,Development,Delhi DC,Active
AST00223,ORG00424,SRV-00223,Workstation 00223,Workstation,High,Staging,Delhi DC,Active
AST00224,ORG00538,SRV-00224,Network Device 00224,Network Device,High,Development,Delhi DC,Active
AST00225,ORG00551,SRV-00225,Domain Controller 00225,Domain Controller,Low,Staging,Pune DC,Active
AST00226,ORG00911,SRV-00226,Domain Controller 00226,Domain Controller,Medium,Production,Hyderabad DC,Active
AST00227,ORG00784,SRV-00227,Firewall 00227,Firewall,Low,Staging,Hyderabad DC,Active
AST00228,ORG00346,SRV-00228,Server 00228,Server,Low,Production,Delhi DC,Active
AST00229,ORG00384,SRV-00229,Firewall 00229,Firewall,Low,Development,Pune DC,Active
AST00230,ORG00271,SRV-00230,Application 00230,Application,Medium,Production,Delhi DC,Active
AST00231,ORG00262,SRV-00231,Network Device 00231,Network Device,High,Development,Delhi DC,Active
AST00232,ORG00770,SRV-00232,Network Device 00232,Network Device,Medium,Development,Delhi DC,Active
AST00233,ORG00793,SRV-00233,Domain Controller 00233,Domain Controller,Low,Staging,Delhi DC,Active
AST00234,ORG00996,SRV-00234,Cloud Instance 00234,Cloud Instance,Medium,Staging,Pune DC,Active
AST00235,ORG00307,SRV-00235,Firewall 00235,Firewall,Critical,Production,Bengaluru DC,Active
AST00236,ORG00133,SRV-00236,Workstation 00236,Workstation,High,Development,Pune DC,Active
AST00237,ORG00061,SRV-00237,Application 00237,Application,High,Staging,Delhi DC,Active
AST00238,ORG00890,SRV-00238,Firewall 00238,Firewall,Critical,Development,Pune DC,Active
AST00239,ORG00123,SRV-00239,Firewall 00239,Firewall,Medium,Staging,Bengaluru DC,Active
AST00240,ORG00448,SRV-00240,Workstation 00240,Workstation,High,Production,Delhi DC,Active
AST00241,ORG00738,SRV-00241,Firewall 00241,Firewall,High,Development,Delhi DC,Active
AST00242,ORG00919,SRV-00242,Application 00242,Application,Critical,Development,Delhi DC,Active
AST00243,ORG00838,SRV-00243,Server 00243,Server,High,Staging,Bengaluru DC,Active
AST00244,ORG00555,SRV-00244,Domain Controller 00244,Domain Controller,Medium,Production,Mumbai DC,Active
AST00245,ORG00674,SRV-00245,Domain Controller 00245,Domain Controller,Medium,Development,Hyderabad DC,Active
AST00246,ORG00375,SRV-00246,Cloud Instance 00246,Cloud Instance,Low,Development,Mumbai DC,Active
AST00247,ORG00698,SRV-00247,Network Device 00247,Network Device,Critical,Staging,Delhi DC,Active
AST00248,ORG00545,SRV-00248,Database 00248,Database,Medium,Development,Delhi DC,Active
AST00249,ORG00070,SRV-00249,Server 00249,Server,High,Staging,Hyderabad DC,Active
AST00250,ORG00416,SRV-00250,Cloud Instance 00250,Cloud Instance,Medium,Production,Bengaluru DC,Active
AST00251,ORG00990,SRV-00251,Cloud Instance 00251,Cloud Instance,High,Development,Mumbai DC,Active
AST00252,ORG00762,SRV-00252,Network Device 00252,Network Device,Medium,Development,Pune DC,Active
AST00253,ORG00127,SRV-00253,Workstation 00253,Workstation,High,Staging,Bengaluru DC,Active
AST00254,ORG00952,SRV-00254,Network Device 00254,Network Device,Medium,Development,Delhi DC,Active
AST00255,ORG00603,SRV-00255,Domain Controller 00255,Domain Controller,Medium,Production,Pune DC,Active
AST00256,ORG00846,SRV-00256,Application 00256,Application,High,Development,Hyderabad DC,Active
AST00257,ORG00314,SRV-00257,Network Device 00257,Network Device,Medium,Production,Mumbai DC,Active
AST00258,ORG00725,SRV-00258,Workstation 00258,Workstation,Low,Staging,Delhi DC,Active
AST00259,ORG00910,SRV-00259,Domain Controller 00259,Domain Controller,Medium,Production,Hyderabad DC,Active
AST00260,ORG00085,SRV-00260,Server 00260,Server,Medium,Development,Pune DC,Maintenance
AST00261,ORG00653,SRV-00261,Firewall 00261,Firewall,High,Development,Bengaluru DC,Active
AST00262,ORG00970,SRV-00262,Domain Controller 00262,Domain Controller,Critical,Production,Bengaluru DC,Active
AST00263,ORG00094,SRV-00263,Database 00263,Database,Medium,Production,Mumbai DC,Active
AST00264,ORG00938,SRV-00264,Workstation 00264,Workstation,High,Development,Mumbai DC,Active
AST00265,ORG00139,SRV-00265,Application 00265,Application,Medium,Development,Mumbai DC,Active
AST00266,ORG00299,SRV-00266,Domain Controller 00266,Domain Controller,Medium,Staging,Bengaluru DC,Active
AST00267,ORG00599,SRV-00267,Workstation 00267,Workstation,High,Production,Hyderabad DC,Active
AST00268,ORG00507,SRV-00268,Network Device 00268,Network Device,High,Development,Delhi DC,Active
AST00269,ORG00128,SRV-00269,Application 00269,Application,Medium,Staging,Mumbai DC,Active
AST00270,ORG00797,SRV-00270,Application 00270,Application,Low,Development,Hyderabad DC,Active
AST00271,ORG00609,SRV-00271,Workstation 00271,Workstation,Low,Staging,Hyderabad DC,Inactive
AST00272,ORG00644,SRV-00272,Server 00272,Server,Low,Production,Mumbai DC,Active
AST00273,ORG00014,SRV-00273,Cloud Instance 00273,Cloud Instance,Critical,Production,Mumbai DC,Active
AST00274,ORG00441,SRV-00274,Firewall 00274,Firewall,High,Development,Mumbai DC,Active
AST00275,ORG00861,SRV-00275,Cloud Instance 00275,Cloud Instance,Medium,Staging,Pune DC,Active
AST00276,ORG00779,SRV-00276,Cloud Instance 00276,Cloud Instance,High,Staging,Hyderabad DC,Active
AST00277,ORG00340,SRV-00277,Database 00277,Database,Medium,Development,Bengaluru DC,Active
AST00278,ORG00626,SRV-00278,Domain Controller 00278,Domain Controller,High,Staging,Delhi DC,Active
AST00279,ORG00148,SRV-00279,Firewall 00279,Firewall,Critical,Staging,Mumbai DC,Maintenance
AST00280,ORG00034,SRV-00280,Server 00280,Server,High,Staging,Pune DC,Active
AST00281,ORG00955,SRV-00281,Firewall 00281,Firewall,Critical,Production,Pune DC,Active
AST00282,ORG00293,SRV-00282,Network Device 00282,Network Device,Medium,Staging,Bengaluru DC,Active
AST00283,ORG00063,SRV-00283,Database 00283,Database,Critical,Production,Delhi DC,Active
AST00284,ORG00412,SRV-00284,Firewall 00284,Firewall,Critical,Production,Bengaluru DC,Active
AST00285,ORG00936,SRV-00285,Workstation 00285,Workstation,Medium,Development,Bengaluru DC,Active
AST00286,ORG00699,SRV-00286,Database 00286,Database,Low,Production,Bengaluru DC,Active
AST00287,ORG00733,SRV-00287,Workstation 00287,Workstation,Low,Staging,Pune DC,Active
AST00288,ORG00360,SRV-00288,Database 00288,Database,Medium,Development,Mumbai DC,Active
AST00289,ORG00485,SRV-00289,Firewall 00289,Firewall,High,Production,Pune DC,Active
