incident_id,external_id,organization_id,title,severity,status,description,created_at,resolved_at
INC00048,INC-SOC-100048,ORG00658,Suspicious Network Activity,Low,Closed,Malicious activity detected across telemetry.,2026-08-29 11:25:00,2026-08-30 17:25:00
INC00049,INC-SOC-100049,ORG00667,Malware Infection,Low,Resolved,Malicious activity detected across telemetry.,2026-08-25 23:11:00,2026-08-27 10:11:00
INC00050,INC-SOC-100050,ORG00024,Credential Attack,Low,Resolved,Potential compromise identified.,2026-08-20 01:28:00,2026-08-21 23:28:00
INC00051,INC-SOC-100051,ORG00128,Privilege Escalation,Critical,Resolved,Multiple suspicious events correlated.,2026-09-07 21:22:00,2026-09-10 09:22:00
INC00052,INC-SOC-100052,ORG00204,Suspicious Network Activity,High,Closed,Potential compromise identified.,2026-08-21 17:58:00,2026-08-24 11:58:00
INC00053,INC-SOC-100053,ORG00287,Data Exfiltration,High,Investigating,Potential compromise identified.,2026-08-27 13:45:00,
INC00054,INC-SOC-100054,ORG00030,Data Exfiltration,Critical,Closed,Multiple suspicious events correlated.,2026-09-05 16:08:00,2026-09-07 20:08:00
INC00055,INC-SOC-100055,ORG00293,Privilege Escalation,High,Closed,Potential compromise identified.,2026-08-22 14:50:00,2026-08-23 13:50:00
INC00056,INC-SOC-100056,ORG00592,Phishing Campaign,High,Resolved,Security control deviation detected.,2026-08-02 19:38:00,2026-08-03 01:38:00
INC00057,INC-SOC-100057,ORG00551,Privilege Escalation,High,Investigating,Multiple suspicious events correlated.,2026-08-31 03:22:00,
INC00058,INC-SOC-100058,ORG00233,Privilege Escalation,High,Resolved,Security control deviation detected.,2026-08-24 15:37:00,2026-08-25 15:37:00
INC00059,INC-SOC-100059,ORG00042,Privilege Escalation,Medium,Closed,Multiple suspicious events correlated.,2026-08-02 03:11:00,2026-08-03 08:11:00
INC00060,INC-SOC-100060,ORG00611,Credential Attack,Critical,Resolved,Potential compromise identified.,2026-09-01 23:45:00,2026-09-04 13:45:00
INC00061,INC-SOC-100061,ORG00141,Credential Attack,Critical,Resolved,Multiple suspicious events correlated.,2026-08-17 00:26:00,2026-08-17 01:26:00
INC00062,INC-SOC-100062,ORG00145,Privilege Escalation,Critical,Resolved,Malicious activity detected across telemetry.,2026-08-29 17:48:00,2026-08-30 00:48:00
INC00063,INC-SOC-100063,ORG01000,Data Exfiltration,Critical,Closed,Security control deviation detected.,2026-08-02 22:38:00,2026-08-04 11:38:00
INC00064,INC-SOC-100064,ORG00381,Phishing Campaign,Medium,Closed,Potential compromise identified.,2026-08-28 00:45:00,2026-08-29 05:45:00
INC00065,INC-SOC-100065,ORG00572,Data Exfiltration,High,Resolved,Security control deviation detected.,2026-08-01 11:52:00,2026-08-03 23:52:00
INC00066,INC-SOC-100066,ORG00010,Suspicious Network Activity,Critical,Resolved,Multiple suspicious events correlated.,2026-09-08 13:09:00,2026-09-08 16:09:00
INC00067,INC-SOC-100067,ORG00816,Credential Attack,Medium,Closed,Security control deviation detected.,2026-08-29 15:14:00,2026-08-29 22:14:00
INC00068,INC-SOC-100068,ORG00788,Malware Infection,High,Investigating,Malicious activity detected across telemetry.,2026-08-19 03:55:00,
INC00069,INC-SOC-100069,ORG00878,Data Exfiltration,Low,Closed,Potential compromise identified.,2026-08-29 02:09:00,2026-08-29 03:09:00
INC00070,INC-SOC-100070,ORG00395,Privilege Escalation,High,Closed,Security control deviation detected.,2026-08-18 20:25:00,2026-08-21 16:25:00
INC00071,INC-SOC-100071,ORG00047,Suspicious Network Activity,Critical,Investigating,Potential compromise identified.,2026-09-03 02:46:00,
INC00072,INC-SOC-100072,ORG00976,Suspicious Network Activity,Medium,Closed,Potential compromise identified.,2026-08-15 03:48:00,2026-08-18 01:48:00
INC00073,INC-SOC-100073,ORG00489,Credential Attack,Critical,Resolved,Malicious activity detected across telemetry.,2026-09-04 20:04:00,2026-09-06 03:04:00
INC00074,INC-SOC-100074,ORG00457,Credential Attack,Medium,Closed,Security control deviation detected.,2026-08-05 16:50:00,2026-08-08 00:50:00
INC00075,INC-SOC-100075,ORG00261,Malware Infection,High,Resolved,Potential compromise identified.,2026-08-07 04:57:00,2026-08-08 23:57:00
INC00076,INC-SOC-100076,ORG00251,Credential Attack,High,Resolved,Potential compromise identified.,2026-08-15 21:15:00,2026-08-18 20:15:00
INC00077,INC-SOC-100077,ORG00879,Suspicious Network Activity,Medium,Resolved,Malicious activity detected across telemetry.,2026-09-05 01:10:00,2026-09-05 19:10:00
INC00078,INC-SOC-100078,ORG00550,Malware Infection,Low,Closed,Potential compromise identified.,2026-08-18 19:25:00,2026-08-20 02:25:00
INC00079,INC-SOC-100079,ORG00367,Privilege Escalation,Medium,Resolved,Malicious activity detected across telemetry.,2026-08-23 00:19:00,2026-08-24 10:19:00
INC00080,INC-SOC-100080,ORG00902,Malware Infection,Medium,Resolved,Malicious activity detected across telemetry.,2026-08-13 13:48:00,2026-08-15 01:48:00
INC00081,INC-SOC-100081,ORG00358,Phishing Campaign,Critical,Resolved,Malicious activity detected across telemetry.,2026-08-11 18:56:00,2026-08-14 12:56:00
INC00082,INC-SOC-100082,ORG00030,Data Exfiltration,High,Open,Multiple suspicious events correlated.,2026-08-03 16:03:00,
INC00083,INC-SOC-100083,ORG00970,Malware Infection,Low,Closed,Security control deviation detected.,2026-08-25 09:46:00,2026-08-25 12:46:00
INC00084,INC-SOC-100084,ORG00217,Suspicious Network Activity,Medium,Investigating,Potential compromise identified.,2026-08-08 15:23:00,
INC00085,INC-SOC-100085,ORG00345,Data Exfiltration,Medium,Closed,Malicious activity detected across telemetry.,2026-08-29 04:43:00,2026-08-30 04:43:00
INC00086,INC-SOC-100086,ORG00059,Phishing Campaign,Critical,Resolved,Security control deviation detected.,2026-09-06 21:42:00,2026-09-07 18:42:00
INC00087,INC-SOC-100087,ORG00759,Privilege Escalation,Medium,Closed,Multiple suspicious events correlated.,2026-08-04 18:03:00,2026-08-05 03:03:00
INC00088,INC-SOC-100088,ORG00632,Privilege Escalation,Low,Resolved,Security control deviation detected.,2026-08-19 22:00:00,2026-08-22 16:00:00
INC00089,INC-SOC-100089,ORG00203,Privilege Escalation,Medium,Closed,Malicious activity detected across telemetry.,2026-08-05 05:32:00,2026-08-06 17:32:00
INC00090,INC-SOC-100090,ORG00620,Privilege Escalation,High,Open,Multiple suspicious events correlated.,2026-08-19 07:06:00,
INC00091,INC-SOC-100091,ORG00684,Malware Infection,Medium,Resolved,Potential compromise identified.,2026-08-31 05:12:00,2026-08-31 09:12:00
INC00092,INC-SOC-100092,ORG00193,Data Exfiltration,Medium,Resolved,Malicious activity detected across telemetry.,2026-08-10 04:41:00,2026-08-12 07:41:00
INC00093,INC-SOC-100093,ORG00260,Data Exfiltration,High,Resolved,Potential compromise identified.,2026-08-09 08:18:00,2026-08-11 12:18:00
INC00094,INC-SOC-100094,ORG00199,Malware Infection,Medium,Resolved,Security control deviation detected.,2026-08-20 05:54:00,2026-08-21 08:54:00
INC00095,INC-SOC-100095,ORG00726,Data Exfiltration,Critical,Resolved,Potential compromise identified.,2026-09-08 18:53:00,2026-09-10 17:53:00
INC00096,INC-SOC-100096,ORG00375,Data Exfiltration,High,Closed,Security control deviation detected.,2026-08-31 02:19:00,2026-08-31 17:19:00
INC00097,INC-SOC-100097,ORG00934,Malware Infection,Low,Closed,Malicious activity detected across telemetry.,2026-08-24 18:57:00,2026-08-27 17:57:00
INC00098,INC-SOC-100098,ORG00248,Malware Infection,Low,Resolved,Potential compromise identified.,2026-09-08 18:54:00,2026-09-11 00:54:00
INC00099,INC-SOC-100099,ORG00439,Credential Attack,Low,Closed,Potential compromise identified.,2026-08-21 01:51:00,2026-08-23 15:51:00
INC00100,INC-SOC-100100,ORG00338,Data Exfiltration,Low,Closed,Multiple suspicious events correlated.,2026-08-17 20:47:00,2026-08-19 15:47:00
INC00101,INC-SOC-100101,ORG00668,Privilege Escalation,Critical,Investigating,Malicious activity detected across telemetry.,2026-09-05 01:10:00,
INC00102,INC-SOC-100102,ORG00082,Data Exfiltration,High,Investigating,Potential compromise identified.,2026-08-23 09:50:00,
INC00103,INC-SOC-100103,ORG00757,Credential Attack,Medium,Resolved,Multiple suspicious events correlated.,2026-08-20 11:00:00,2026-08-22 07:00:00
INC00104,INC-SOC-100104,ORG00998,Malware Infection,High,Closed,Security control deviation detected.,2026-08-29 20:08:00,2026-09-01 08:08:00
INC00105,INC-SOC-100105,ORG00377,Data Exfiltration,Low,Investigating,Potential compromise identified.,2026-09-02 18:06:00,
INC00106,INC-SOC-100106,ORG00044,Data Exfiltration,High,Closed,Potential compromise identified.,2026-08-14 06:48:00,2026-08-15 22:48:00
INC00107,INC-SOC-100107,ORG00066,Credential Attack,Critical,Open,Security control deviation detected.,2026-08-08 06:18:00,
INC00108,INC-SOC-100108,ORG00469,Privilege Escalation,Medium,Resolved,Malicious activity detected across telemetry.,2026-08-03 02:20:00,2026-08-04 21:20:00
INC00109,INC-SOC-100109,ORG00877,Malware Infection,Medium,Resolved,Potential compromise identified.,2026-08-15 06:32:00,2026-08-16 13:32:00
INC00110,INC-SOC-100110,ORG00142,Suspicious Network Activity,Critical,Resolved,Security control deviation detected.,2026-08-30 12:04:00,2026-08-31 02:04:00
INC00111,INC-SOC-100111,ORG00691,Suspicious Network Activity,Critical,Closed,Multiple suspicious events correlated.,2026-08-19 12:53:00,2026-08-20 19:53:00
INC00112,INC-SOC-100112,ORG00259,Privilege Escalation,Medium,Resolved,Security control deviation detected.,2026-08-19 14:47:00,2026-08-21 13:47:00
INC00113,INC-SOC-100113,ORG00973,Privilege Escalation,Medium,Resolved,Malicious activity detected across telemetry.,2026-08-17 06:43:00,2026-08-19 23:43:00
INC00114,INC-SOC-100114,ORG00241,Phishing Campaign,Low,Resolved,Malicious activity detected across telemetry.,2026-08-09 14:26:00,2026-08-09 21:26:00
INC00115,INC-SOC-100115,ORG00233,Phishing Campaign,High,Investigating,Security control deviation detected.,2026-08-10 06:13:00,
INC00116,INC-SOC-100116,ORG00666,Malware Infection,High,Resolved,Multiple suspicious events correlated.,2026-09-04 00:14:00,2026-09-05 02:14:00
INC00117,INC-SOC-100117,ORG00489,Credential Attack,High,Resolved,Security control deviation detected.,2026-08-08 11:07:00,2026-08-10 02:07:00
INC00118,INC-SOC-100118,ORG00817,Data Exfiltration,Critical,Resolved,Malicious activity detected across telemetry.,2026-08-14 16:38:00,2026-08-17 05:38:00
INC00119,INC-SOC-100119,ORG00117,Phishing Campaign,High,Resolved,Security control deviation detected.,2026-09-02 14:44:00,2026-09-02 16:44:00
INC00120,INC-SOC-100120,ORG00160,Credential Attack,High,Resolved,Security control deviation detected.,2026-08-02 19:05:00,2026-08-03 14:05:00
INC00121,INC-SOC-100121,ORG00590,Malware Infection,Low,Resolved,Potential compromise identified.,2026-09-06 03:31:00,2026-09-08 02:31:00
INC00122,INC-SOC-100122,ORG00341,Data Exfiltration,High,Resolved,Security control deviation detected.,2026-09-02 13:31:00,2026-09-05 09:31:00
INC00123,INC-SOC-100123,ORG00436,Privilege Escalation,High,Closed,Malicious activity detected across telemetry.,2026-08-24 05:23:00,2026-08-25 08:23:00
INC00124,INC-SOC-100124,ORG00868,Malware Infection,Medium,Resolved,Malicious activity detected across telemetry.,2026-08-05 08:11:00,2026-08-07 20:11:00
INC00125,INC-SOC-100125,ORG00997,Privilege Escalation,Medium,Resolved,Potential compromise identified.,2026-09-09 10:40:00,2026-09-10 04:40:00
INC00126,INC-SOC-100126,ORG00176,Privilege Escalation,Critical,Closed,Malicious activity detected across telemetry.,2026-09-02 21:14:00,2026-09-04 20:14:00
INC00127,INC-SOC-100127,ORG00914,Credential Attack,High,Investigating,Security control deviation detected.,2026-08-01 02:41:00,
INC00128,INC-SOC-100128,ORG00666,Data Exfiltration,High,Closed,Multiple suspicious events correlated.,2026-08-19 09:17:00,2026-08-21 17:17:00
INC00129,INC-SOC-100129,ORG00589,Malware Infection,Critical,Closed,Malicious activity detected across telemetry.,2026-08-15 20:16:00,2026-08-17 04:16:00
INC00130,INC-SOC-100130,ORG00562,Malware Infection,Low,Resolved,Malicious activity detected across telemetry.,2026-08-15 12:56:00,2026-08-17 15:56:00
INC00131,INC-SOC-100131,ORG00431,Credential Attack,Low,Closed,Multiple suspicious events correlated.,2026-09-03 11:25:00,2026-09-03 13:25:00
INC00132,INC-SOC-100132,ORG00545,Privilege Escalation,Low,Closed,Security control deviation detected.,2026-08-08 05:36:00,2026-08-10 13:36:00
INC00133,INC-SOC-100133,ORG00565,Credential Attack,High,Resolved,Malicious activity detected across telemetry.,2026-08-17 07:25:00,2026-08-20 02:25:00
INC00134,INC-SOC-100134,ORG00111,Suspicious Network Activity,Low,Investigating,Security control deviation detected.,2026-08-25 15:58:00,
INC00135,INC-SOC-100135,ORG00180,Privilege Escalation,Low,Resolved,Malicious activity detected across telemetry.,2026-09-05 12:41:00,2026-09-07 19:41:00
INC00136,INC-SOC-100136,ORG00202,Suspicious Network Activity,Critical,Resolved,Multiple suspicious events correlated.,2026-09-04 04:32:00,2026-09-05 12:32:00
INC00137,INC-SOC-100137,ORG00826,Credential Attack,Critical,Investigating,Malicious activity detected across telemetry.,2026-08-14 00:51:00,
INC00138,INC-SOC-100138,ORG00382,Data Exfiltration,Critical,Resolved,Security control deviation detected.,2026-08-07 09:27:00,2026-08-08 21:27:00
INC00139,INC-SOC-100139,ORG00439,Privilege Escalation,High,Resolved,Malicious activity detected across telemetry.,2026-09-08 15:03:00,2026-09-09 03:03:00
INC00140,INC-SOC-100140,ORG00006,Data Exfiltration,Critical,Resolved,Multiple suspicious events correlated.,2026-08-07 01:50:00,2026-08-07 06:50:00
INC00141,INC-SOC-100141,ORG00406,Malware Infection,Medium,Resolved,Potential compromise identified.,2026-08-13 14:06:00,2026-08-14 08:06:00
INC00142,INC-SOC-100142,ORG00555,Malware Infection,High,Closed,Security control deviation detected.,2026-08-10 15:26:00,2026-08-10 20:26:00
INC00143,INC-SOC-100143,ORG00605,Phishing Campaign,Low,Open,Security control deviation detected.,2026-08-17 05:27:00,
INC00144,INC-SOC-100144,ORG00276,Privilege Escalation,Medium,Closed,Security control deviation detected.,2026-08-13 05:15:00,2026-08-15 10:15:00
INC00145,INC-SOC-100145,ORG00237,Data Exfiltration,Low,Resolved,Malicious activity detected across telemetry.,2026-09-06 08:02:00,2026-09-07 09:02:00
INC00146,INC-SOC-100146,ORG00372,Data Exfiltration,Medium,Closed,Multiple suspicious events correlated.,2026-08-26 18:21:00,2026-08-29 09:21:00
INC00147,INC-SOC-100147,ORG00926,Credential Attack,Low,Closed,Malicious activity detected across telemetry.,2026-08-08 09:26:00,2026-08-09 03:26:00
INC00148,INC-SOC-100148,ORG00374,Suspicious Network Activity,Critical,Resolved,Multiple suspicious events correlated.,2026-08-10 06:25:00,2026-08-13 05:25:00
INC00149,INC-SOC-100149,ORG00418,Malware Infection,Critical,Closed,Multiple suspicious events correlated.,2026-08-29 13:07:00,2026-08-30 19:07:00
INC00150,INC-SOC-100150,ORG00910,Data Exfiltration,High,Closed,Malicious activity detected across telemetry.,2026-08-09 02:38:00,2026-08-09 17:38:00
INC00151,INC-SOC-100151,ORG00273,Credential Attack,High,Resolved,Multiple suspicious events correlated.,2026-08-19 19:50:00,2026-08-20 20:50:00
INC00152,INC-SOC-100152,ORG00263,Phishing Campaign,Critical,Resolved,Potential compromise identified.,2026-08-23 18:39:00,2026-08-24 17:39:00
INC00153,INC-SOC-100153,ORG00743,Malware Infection,Critical,Investigating,Malicious activity detected across telemetry.,2026-09-04 22:34:00,
INC00154,INC-SOC-100154,ORG00022,Privilege Escalation,Low,Resolved,Security control deviation detected.,2026-08-09 22:46:00,2026-08-11 16:46:00
INC00155,INC-SOC-100155,ORG00602,Privilege Escalation,Low,Closed,Security control deviation detected.,2026-08-23 12:14:00,2026-08-24 18:14:00
INC00156,INC-SOC-100156,ORG00567,Suspicious Network Activity,Low,Closed,Potential compromise identified.,2026-09-02 05:02:00,2026-09-03 16:02:00
INC00157,INC-SOC-100157,ORG00300,Data Exfiltration,Medium,Resolved,Potential compromise identified.,2026-08-23 07:22:00,2026-08-25 20:22:00
INC00158,INC-SOC-100158,ORG00316,Suspicious Network Activity,Low,Closed,Potential compromise identified.,2026-09-04 08:05:00,2026-09-07 07:05:00
INC00159,INC-SOC-100159,ORG00136,Malware Infection,Medium,Resolved,Malicious activity detected across telemetry.,2026-08-19 03:01:00,2026-08-19 13:01:00
INC00160,INC-SOC-100160,ORG00060,Credential Attack,Critical,Closed,Multiple suspicious events correlated.,2026-08-11 19:21:00,2026-08-12 16:21:00
INC00161,INC-SOC-100161,ORG00404,Phishing Campaign,Critical,Closed,Malicious activity detected across telemetry.,2026-08-16 21:52:00,2026-08-18 07:52:00
INC00162,INC-SOC-100162,ORG00659,Phishing Campaign,Medium,Resolved,Multiple suspicious events correlated.,2026-08-17 02:25:00,2026-08-18 19:25:00
INC00163,INC-SOC-100163,ORG00020,Malware Infection,Low,Resolved,Multiple suspicious events correlated.,2026-08-23 22:58:00,2026-08-26 16:58:00
INC00164,INC-SOC-100164,ORG00778,Credential Attack,High,Resolved,Potential compromise identified.,2026-08-25 01:19:00,2026-08-26 08:19:00
INC00165,INC-SOC-100165,ORG00107,Suspicious Network Activity,Medium,Resolved,Malicious activity detected across telemetry.,2026-08-13 01:30:00,2026-08-13 14:30:00
INC00166,INC-SOC-100166,ORG00588,Malware Infection,High,Investigating,Potential compromise identified.,2026-09-02 18:17:00,
INC00167,INC-SOC-100167,ORG00522,Phishing Campaign,Medium,Investigating,Security control deviation detected.,2026-08-06 18:32:00,
INC00168,INC-SOC-100168,ORG00302,Privilege Escalation,Medium,Resolved,Potential compromise identified.,2026-09-09 17:11:00,2026-09-10 12:11:00
INC00169,INC-SOC-100169,ORG00964,Phishing Campaign,Medium,Closed,Malicious activity detected across telemetry.,2026-08-04 16:57:00,2026-08-05 03:57:00
INC00170,INC-SOC-100170,ORG00470,Credential Attack,High,Resolved,Potential compromise identified.,2026-08-10 08:37:00,2026-08-12 21:37:00
INC00171,INC-SOC-100171,ORG00081,Privilege Escalation,High,Open,Security control deviation detected.,2026-08-05 23:47:00,
INC00172,INC-SOC-100172,ORG00618,Malware Infection,Medium,Investigating,Potential compromise identified.,2026-08-22 10:47:00,
INC00173,INC-SOC-100173,ORG00566,Suspicious Network Activity,Critical,Resolved,Potential compromise identified.,2026-08-04 10:33:00,2026-08-05 05:33:00
INC00174,INC-SOC-100174,ORG00848,Suspicious Network Activity,High,Resolved,Potential compromise identified.,2026-08-07 17:38:00,2026-08-09 12:38:00
INC00175,INC-SOC-100175,ORG00933,Suspicious Network Activity,High,Open,Security control deviation detected.,2026-09-02 15:11:00,
INC00176,INC-SOC-100176,ORG00103,Data Exfiltration,High,Resolved,Multiple suspicious events correlated.,2026-09-03 02:45:00,2026-09-05 00:45:00
INC00177,INC-SOC-100177,ORG00090,Data Exfiltration,Low,Closed,Multiple suspicious events correlated.,2026-08-24 01:32:00,2026-08-25 19:32:00
INC00178,INC-SOC-100178,ORG00138,Credential Attack,Low,Closed,Security control deviation detected.,2026-08-14 06:01:00,2026-08-15 11:01:00
INC00179,INC-SOC-100179,ORG00255,Data Exfiltration,Medium,Closed,Multiple suspicious events correlated.,2026-08-18 03:57:00,2026-08-20 14:57:00
INC00180,INC-SOC-100180,ORG00455,Credential Attack,High,Resolved,Malicious activity detected across telemetry.,2026-09-01 08:14:00,2026-09-04 05:14:00
INC00181,INC-SOC-100181,ORG00351,Phishing Campaign,High,Investigating,Malicious activity detected across telemetry.,2026-08-08 19:37:00,
INC00182,INC-SOC-100182,ORG00792,Data Exfiltration,Low,Resolved,Potential compromise identified.,2026-08-21 08:23:00,2026-08-22 08:23:00
INC00183,INC-SOC-100183,ORG00907,Malware Infection,Critical,Resolved,Multiple suspicious events correlated.,2026-08-26 08:36:00,2026-08-27 15:36:00
INC00184,INC-SOC-100184,ORG00485,Data Exfiltration,Critical,Closed,Multiple suspicious events correlated.,2026-08-13 06:06:00,2026-08-15 09:06:00
INC00185,INC-SOC-100185,ORG00712,Malware Infection,Low,Closed,Multiple suspicious events correlated.,2026-08-01 16:27:00,2026-08-02 13:27:00
INC00186,INC-SOC-100186,ORG00244,Privilege Escalation,Low,Resolved,Malicious activity detected across telemetry.,2026-08-01 00:48:00,2026-08-01 22:48:00
INC00187,INC-SOC-100187,ORG00866,Malware Infection,Medium,Resolved,Security control deviation detected.,2026-08-29 11:41:00,2026-08-30 13:41:00
INC00188,INC-SOC-100188,ORG00303,Suspicious Network Activity,Low,Closed,Malicious activity detected across telemetry.,2026-08-10 05:30:00,2026-08-11 21:30:00
