investigation_id,alert_id,analyst_id,started_at,completed_at,duration_minutes,actions_performed,queries_executed,evidence_reviewed,investigation_notes,findings,escalation_decision
INV00015,ALT00015,AN22281,2026-08-26 21:53:36,2026-08-26 22:34:36,41,Reviewed authentication logs; checked source IP,11,Yes,Validated detection against SIEM and endpoint evidence.,Benign activity,No
INV00016,ALT00016,AN04054,2026-08-26 08:39:01,2026-08-26 10:30:01,111,Checked threat intelligence and historical activity,8,Yes,Investigated user activity and historical baseline.,Potential compromise identified,No
INV00017,ALT00017,AN06005,2026-08-25 04:10:08,2026-08-25 04:20:08,10,Reviewed authentication logs; checked source IP,12,No,Reviewed authentication logs and source IP.,Suspicious activity confirmed,No
INV00018,ALT00018,AN12400,2026-08-09 21:51:23,2026-08-09 23:20:23,89,"Correlated SIEM, firewall and endpoint telemetry",9,Yes,Validated detection against SIEM and endpoint evidence.,Potential compromise identified,Yes
INV00019,ALT00019,AN17389,2026-08-28 21:45:03,2026-08-28 23:01:03,76,Checked threat intelligence and historical activity,5,No,Reviewed authentication logs and source IP.,Benign activity,No
INV00020,ALT00020,AN18086,2026-08-13 17:04:18,2026-08-13 17:16:18,12,Checked threat intelligence and historical activity,9,Yes,Validated detection against SIEM and endpoint evidence.,Suspicious activity confirmed,Yes
INV00021,ALT00021,AN18588,2026-09-08 21:43:31,2026-09-08 22:23:31,40,Reviewed authentication logs; checked source IP,3,Yes,Investigated user activity and historical baseline.,Benign activity,No
INV00022,ALT00022,AN14772,2026-08-26 18:50:31,2026-08-26 19:07:31,17,Checked threat intelligence and historical activity,11,No,Validated detection against SIEM and endpoint evidence.,Likely false positive,No
INV00023,ALT00023,AN20354,2026-08-24 00:14:00,2026-08-24 00:38:00,24,Reviewed authentication logs; checked source IP,9,Yes,Investigated user activity and historical baseline.,Potential compromise identified,Yes
INV00024,ALT00024,AN10328,2026-08-20 16:42:33,2026-08-20 17:24:33,42,Reviewed authentication logs; checked source IP,10,Yes,Investigated user activity and historical baseline.,Potential compromise identified,Yes
INV00025,ALT00025,AN15603,2026-09-02 02:29:41,2026-09-02 03:03:41,34,Reviewed endpoint logs; analyzed process tree,11,Yes,Checked endpoint telemetry and correlated network events.,Benign activity,No
INV00026,ALT00026,AN16233,2026-08-09 01:10:45,2026-08-09 01:40:45,30,"Correlated SIEM, firewall and endpoint telemetry",6,Yes,Validated detection against SIEM and endpoint evidence.,Suspicious activity confirmed,No
INV00027,ALT00027,AN03798,2026-09-07 17:26:03,2026-09-07 18:14:03,48,Checked threat intelligence and historical activity,9,Yes,Reviewed authentication logs and source IP.,Benign activity,Yes
INV00028,ALT00028,AN08077,2026-09-03 21:59:37,2026-09-03 22:15:37,16,"Correlated SIEM, firewall and endpoint telemetry",6,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV00029,ALT00029,AN13471,2026-08-21 01:56:21,2026-08-21 02:30:21,34,Reviewed authentication logs; checked source IP,3,Yes,Investigated user activity and historical baseline.,Suspicious activity confirmed,Yes
INV00030,ALT00030,AN17160,2026-08-18 13:59:04,2026-08-18 14:42:04,43,Reviewed endpoint logs; analyzed process tree,2,Yes,Checked endpoint telemetry and correlated network events.,Likely false positive,No
INV00031,ALT00031,AN12285,2026-08-16 20:18:54,2026-08-16 20:38:54,20,"Correlated SIEM, firewall and endpoint telemetry",3,Yes,Reviewed authentication logs and source IP.,Potential compromise identified,No
INV00032,ALT00032,AN13197,2026-08-30 12:37:57,2026-08-30 13:12:57,35,Reviewed endpoint logs; analyzed process tree,6,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV00033,ALT00033,AN05297,2026-08-04 21:36:14,2026-08-04 22:14:14,38,"Correlated SIEM, firewall and endpoint telemetry",10,No,Reviewed authentication logs and source IP.,Potential compromise identified,No
INV00034,ALT00034,AN01565,2026-08-20 03:52:34,2026-08-20 04:17:34,25,"Correlated SIEM, firewall and endpoint telemetry",4,No,Validated detection against SIEM and endpoint evidence.,Potential compromise identified,No
INV00035,ALT00035,AN03846,2026-08-09 05:25:50,2026-08-09 06:06:50,41,Checked threat intelligence and historical activity,9,Yes,Investigated user activity and historical baseline.,Potential compromise identified,Yes
INV00036,ALT00036,AN18337,2026-08-17 20:33:31,2026-08-17 20:56:31,23,"Correlated SIEM, firewall and endpoint telemetry",2,No,Investigated user activity and historical baseline.,Suspicious activity confirmed,Yes
INV00037,ALT00037,AN20280,2026-08-09 15:24:40,2026-08-09 16:22:40,58,Reviewed authentication logs; checked source IP,6,Yes,Checked endpoint telemetry and correlated network events.,Benign activity,Yes
INV00038,ALT00038,AN22564,2026-08-14 10:50:55,2026-08-14 11:07:55,17,Checked threat intelligence and historical activity,8,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV00039,ALT00039,AN21824,2026-08-07 00:37:32,2026-08-07 02:09:32,92,Reviewed authentication logs; checked source IP,8,No,Validated detection against SIEM and endpoint evidence.,Suspicious activity confirmed,Yes
INV00040,ALT00040,AN11499,2026-08-05 12:42:21,2026-08-05 13:08:21,26,Reviewed authentication logs; checked source IP,3,Yes,Investigated user activity and historical baseline.,Suspicious activity confirmed,No
INV00041,ALT00041,AN03527,2026-08-10 11:15:28,2026-08-10 13:16:28,121,Reviewed endpoint logs; analyzed process tree,9,Yes,Reviewed authentication logs and source IP.,Potential compromise identified,Yes
INV00042,ALT00042,AN22212,2026-09-01 22:17:54,2026-09-01 22:47:54,30,Checked threat intelligence and historical activity,6,Yes,Reviewed authentication logs and source IP.,Potential compromise identified,Yes
INV00043,ALT00043,AN02375,2026-09-04 00:18:10,2026-09-04 00:33:10,15,"Correlated SIEM, firewall and endpoint telemetry",4,Yes,Checked endpoint telemetry and correlated network events.,Benign activity,Yes
INV00044,ALT00044,AN10815,2026-08-29 11:12:15,2026-08-29 12:43:15,91,Checked threat intelligence and historical activity,8,Yes,Reviewed authentication logs and source IP.,Potential compromise identified,Yes
INV00045,ALT00045,AN20667,2026-08-09 17:43:34,2026-08-09 19:09:34,86,"Correlated SIEM, firewall and endpoint telemetry",4,Yes,Reviewed authentication logs and source IP.,Suspicious activity confirmed,Yes
INV00046,ALT00046,AN21501,2026-08-21 16:11:28,2026-08-21 17:12:28,61,Reviewed endpoint logs; analyzed process tree,4,Yes,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,No
INV00047,ALT00047,AN07889,2026-08-17 08:18:18,2026-08-17 10:10:18,112,Checked threat intelligence and historical activity,5,Yes,Validated detection against SIEM and endpoint evidence.,Suspicious activity confirmed,Yes
INV00048,ALT00048,AN23489,2026-08-10 07:17:18,2026-08-10 09:44:18,147,Checked threat intelligence and historical activity,11,Yes,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,No
INV00049,ALT00049,AN12070,2026-08-24 03:19:29,2026-08-24 04:04:29,45,Reviewed authentication logs; checked source IP,6,No,Validated detection against SIEM and endpoint evidence.,Likely false positive,No
INV00050,ALT00050,AN06944,2026-08-28 22:42:36,2026-08-28 23:08:36,26,Reviewed authentication logs; checked source IP,10,No,Reviewed authentication logs and source IP.,Likely false positive,Yes
INV00051,ALT00051,AN21186,2026-08-28 18:53:49,2026-08-28 19:35:49,42,Reviewed authentication logs; checked source IP,3,Yes,Checked endpoint telemetry and correlated network events.,Potential compromise identified,Yes
INV00052,ALT00052,AN24597,2026-09-09 09:57:54,2026-09-09 11:06:54,69,Reviewed authentication logs; checked source IP,12,No,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,No
INV00053,ALT00053,AN22485,2026-08-14 00:45:39,2026-08-14 01:56:39,71,Reviewed endpoint logs; analyzed process tree,9,Yes,Checked endpoint telemetry and correlated network events.,Potential compromise identified,Yes
INV00054,ALT00054,AN17222,2026-09-03 15:46:06,2026-09-03 16:16:06,30,"Correlated SIEM, firewall and endpoint telemetry",8,No,Investigated user activity and historical baseline.,Likely false positive,Yes
INV00055,ALT00055,AN13545,2026-08-15 10:30:43,2026-08-15 10:56:43,26,"Correlated SIEM, firewall and endpoint telemetry",12,Yes,Reviewed authentication logs and source IP.,Likely false positive,No
INV00056,ALT00056,AN12622,2026-08-08 05:45:42,2026-08-08 06:53:42,68,Checked threat intelligence and historical activity,6,Yes,Investigated user activity and historical baseline.,Suspicious activity confirmed,No
INV00057,ALT00057,AN14366,2026-08-27 20:42:41,2026-08-27 22:22:41,100,"Correlated SIEM, firewall and endpoint telemetry",5,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV00058,ALT00058,AN09030,2026-08-16 12:55:03,2026-08-16 13:39:03,44,Reviewed authentication logs; checked source IP,12,Yes,Reviewed authentication logs and source IP.,Potential compromise identified,Yes
INV00059,ALT00059,AN17966,2026-08-16 13:33:56,2026-08-16 14:56:56,83,Reviewed authentication logs; checked source IP,4,Yes,Investigated user activity and historical baseline.,Likely false positive,No
INV00060,ALT00060,AN17414,2026-08-20 10:13:03,2026-08-20 12:00:03,107,Reviewed authentication logs; checked source IP,10,Yes,Investigated user activity and historical baseline.,Suspicious activity confirmed,No
INV00061,ALT00061,AN21019,2026-08-30 07:11:13,2026-08-30 07:54:13,43,Checked threat intelligence and historical activity,12,Yes,Investigated user activity and historical baseline.,Benign activity,Yes
INV00062,ALT00062,AN08890,2026-08-22 19:25:25,2026-08-22 19:40:25,15,Reviewed authentication logs; checked source IP,5,Yes,Reviewed authentication logs and source IP.,Suspicious activity confirmed,Yes
INV00063,ALT00063,AN00816,2026-08-29 02:08:28,2026-08-29 02:21:28,13,Checked threat intelligence and historical activity,4,Yes,Checked endpoint telemetry and correlated network events.,Potential compromise identified,Yes
INV00064,ALT00064,AN00574,2026-08-29 04:14:46,2026-08-29 04:22:46,8,Checked threat intelligence and historical activity,9,Yes,Checked endpoint telemetry and correlated network events.,Potential compromise identified,No
INV00065,ALT00065,AN11465,2026-08-22 09:50:24,2026-08-22 11:06:24,76,Checked threat intelligence and historical activity,3,Yes,Checked endpoint telemetry and correlated network events.,Benign activity,No
INV00066,ALT00066,AN02012,2026-08-23 07:10:54,2026-08-23 08:44:54,94,Checked threat intelligence and historical activity,9,Yes,Checked endpoint telemetry and correlated network events.,Likely false positive,Yes
INV00067,ALT00067,AN05140,2026-08-28 05:17:47,2026-08-28 07:05:47,108,Reviewed authentication logs; checked source IP,4,Yes,Validated detection against SIEM and endpoint evidence.,Potential compromise identified,Yes
INV00068,ALT00068,AN22964,2026-09-01 11:42:15,2026-09-01 12:04:15,22,Checked threat intelligence and historical activity,11,Yes,Checked endpoint telemetry and correlated network events.,Benign activity,Yes
INV00069,ALT00069,AN09125,2026-08-13 10:25:53,2026-08-13 11:44:53,79,"Correlated SIEM, firewall and endpoint telemetry",11,No,Reviewed authentication logs and source IP.,Suspicious activity confirmed,Yes
INV00070,ALT00070,AN23433,2026-09-06 23:39:42,2026-09-07 01:35:42,116,Reviewed endpoint logs; analyzed process tree,6,Yes,Validated detection against SIEM and endpoint evidence.,Benign activity,Yes
INV00071,ALT00071,AN08817,2026-09-04 12:05:04,2026-09-04 12:22:04,17,"Correlated SIEM, firewall and endpoint telemetry",6,Yes,Checked endpoint telemetry and correlated network events.,Benign activity,No
INV00072,ALT00072,AN23544,2026-08-19 16:55:22,2026-08-19 17:10:22,15,Reviewed endpoint logs; analyzed process tree,5,Yes,Investigated user activity and historical baseline.,Suspicious activity confirmed,Yes
INV00073,ALT00073,AN06750,2026-08-29 03:42:34,2026-08-29 05:26:34,104,Reviewed authentication logs; checked source IP,11,Yes,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,No
INV00074,ALT00074,AN07840,2026-09-04 06:22:11,2026-09-04 06:40:11,18,Reviewed endpoint logs; analyzed process tree,10,Yes,Validated detection against SIEM and endpoint evidence.,Suspicious activity confirmed,Yes
INV00075,ALT00075,AN12010,2026-08-08 00:32:46,2026-08-08 00:47:46,15,Checked threat intelligence and historical activity,4,Yes,Investigated user activity and historical baseline.,Potential compromise identified,Yes
INV00076,ALT00076,AN18509,2026-08-24 02:40:31,2026-08-24 03:03:31,23,Reviewed authentication logs; checked source IP,7,Yes,Validated detection against SIEM and endpoint evidence.,Potential compromise identified,Yes
INV00077,ALT00077,AN08783,2026-09-06 14:49:08,2026-09-06 15:07:08,18,Reviewed endpoint logs; analyzed process tree,9,No,Validated detection against SIEM and endpoint evidence.,Suspicious activity confirmed,Yes
INV00078,ALT00078,AN21792,2026-08-12 21:15:19,2026-08-12 22:21:19,66,Checked threat intelligence and historical activity,7,Yes,Validated detection against SIEM and endpoint evidence.,Benign activity,No
INV00079,ALT00079,AN07549,2026-08-18 00:07:18,2026-08-18 00:39:18,32,"Correlated SIEM, firewall and endpoint telemetry",8,Yes,Investigated user activity and historical baseline.,Suspicious activity confirmed,No
INV00080,ALT00080,AN07181,2026-08-24 06:27:41,2026-08-24 07:33:41,66,"Correlated SIEM, firewall and endpoint telemetry",5,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV00081,ALT00081,AN21372,2026-08-08 13:06:00,2026-08-08 14:44:00,98,"Correlated SIEM, firewall and endpoint telemetry",3,Yes,Investigated user activity and historical baseline.,Benign activity,Yes
INV00082,ALT00082,AN02229,2026-08-15 01:10:32,2026-08-15 02:44:32,94,Reviewed endpoint logs; analyzed process tree,12,Yes,Reviewed authentication logs and source IP.,Suspicious activity confirmed,Yes
INV00083,ALT00083,AN16396,2026-08-14 15:52:38,2026-08-14 16:26:38,34,"Correlated SIEM, firewall and endpoint telemetry",2,Yes,Investigated user activity and historical baseline.,Potential compromise identified,Yes
INV00084,ALT00084,AN11504,2026-08-17 22:37:04,2026-08-17 23:30:04,53,Reviewed authentication logs; checked source IP,11,Yes,Validated detection against SIEM and endpoint evidence.,Potential compromise identified,No
INV00085,ALT00085,AN02301,2026-08-20 09:33:47,2026-08-20 10:08:47,35,Reviewed authentication logs; checked source IP,10,No,Reviewed authentication logs and source IP.,Benign activity,Yes
INV00086,ALT00086,AN13882,2026-08-27 13:56:33,2026-08-27 15:31:33,95,Reviewed authentication logs; checked source IP,2,No,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV00087,ALT00087,AN11282,2026-08-17 00:02:55,2026-08-17 00:19:55,17,Reviewed authentication logs; checked source IP,9,Yes,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,Yes
INV00088,ALT00088,AN15220,2026-08-01 07:26:12,2026-08-01 08:06:12,40,"Correlated SIEM, firewall and endpoint telemetry",8,Yes,Checked endpoint telemetry and correlated network events.,Potential compromise identified,No
INV00089,ALT00089,AN18237,2026-08-04 10:29:48,2026-08-04 10:45:48,16,Checked threat intelligence and historical activity,7,No,Reviewed authentication logs and source IP.,Potential compromise identified,No
INV00090,ALT00090,AN18600,2026-09-06 11:57:29,2026-09-06 12:36:29,39,Checked threat intelligence and historical activity,6,Yes,Reviewed authentication logs and source IP.,Suspicious activity confirmed,Yes
INV00091,ALT00091,AN03214,2026-08-25 23:06:08,2026-08-26 00:12:08,66,Checked threat intelligence and historical activity,11,Yes,Validated detection against SIEM and endpoint evidence.,Benign activity,No
INV00092,ALT00092,AN01168,2026-08-19 14:28:55,2026-08-19 15:14:55,46,Reviewed endpoint logs; analyzed process tree,12,Yes,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,Yes
INV00093,ALT00093,AN23876,2026-08-01 23:48:45,2026-08-02 01:16:45,88,"Correlated SIEM, firewall and endpoint telemetry",7,Yes,Investigated user activity and historical baseline.,Suspicious activity confirmed,Yes
INV00094,ALT00094,AN08270,2026-09-03 03:40:12,2026-09-03 04:08:12,28,Reviewed endpoint logs; analyzed process tree,2,No,Reviewed authentication logs and source IP.,Suspicious activity confirmed,Yes
INV00095,ALT00095,AN04124,2026-08-28 07:02:48,2026-08-28 08:40:48,98,Reviewed authentication logs; checked source IP,3,No,Investigated user activity and historical baseline.,Likely false positive,No
INV00096,ALT00096,AN08637,2026-08-01 13:31:27,2026-08-01 14:01:27,30,Reviewed authentication logs; checked source IP,11,Yes,Reviewed authentication logs and source IP.,Suspicious activity confirmed,No
INV00097,ALT00097,AN19530,2026-08-02 05:49:07,2026-08-02 06:12:07,23,Checked threat intelligence and historical activity,8,Yes,Investigated user activity and historical baseline.,Suspicious activity confirmed,Yes
INV00098,ALT00098,AN02943,2026-08-10 23:41:18,2026-08-11 00:19:18,38,Checked threat intelligence and historical activity,9,No,Reviewed authentication logs and source IP.,Potential compromise identified,No
INV00099,ALT00099,AN03530,2026-08-16 01:36:03,2026-08-16 02:07:03,31,"Correlated SIEM, firewall and endpoint telemetry",2,Yes,Reviewed authentication logs and source IP.,Potential compromise identified,No
INV00100,ALT00100,AN13863,2026-08-18 10:18:18,2026-08-18 10:46:18,28,"Correlated SIEM, firewall and endpoint telemetry",3,Yes,Reviewed authentication logs and source IP.,Likely false positive,No
INV00101,ALT00101,AN08389,2026-08-29 02:35:49,2026-08-29 03:16:49,41,"Correlated SIEM, firewall and endpoint telemetry",10,No,Reviewed authentication logs and source IP.,Likely false positive,No
INV00102,ALT00102,AN07055,2026-09-04 09:09:23,2026-09-04 09:21:23,12,"Correlated SIEM, firewall and endpoint telemetry",10,Yes,Investigated user activity and historical baseline.,Likely false positive,Yes
INV00103,ALT00103,AN20271,2026-08-10 07:17:39,2026-08-10 07:32:39,15,Reviewed endpoint logs; analyzed process tree,9,Yes,Checked endpoint telemetry and correlated network events.,Potential compromise identified,No
INV00104,ALT00104,AN10512,2026-08-11 18:35:11,2026-08-11 19:04:11,29,Reviewed authentication logs; checked source IP,2,Yes,Reviewed authentication logs and source IP.,Potential compromise identified,No
INV00105,ALT00105,AN06999,2026-08-18 11:43:55,2026-08-18 12:07:55,24,"Correlated SIEM, firewall and endpoint telemetry",12,Yes,Checked endpoint telemetry and correlated network events.,Benign activity,Yes
INV00106,ALT00106,AN24296,2026-08-28 05:38:17,2026-08-28 06:14:17,36,Checked threat intelligence and historical activity,9,Yes,Checked endpoint telemetry and correlated network events.,Benign activity,No
INV00107,ALT00107,AN12611,2026-08-21 22:19:20,2026-08-21 22:44:20,25,Reviewed endpoint logs; analyzed process tree,7,Yes,Checked endpoint telemetry and correlated network events.,Potential compromise identified,No
INV00108,ALT00108,AN05527,2026-08-02 10:40:00,2026-08-02 11:12:00,32,Reviewed authentication logs; checked source IP,11,No,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV00109,ALT00109,AN02783,2026-08-06 05:02:33,2026-08-06 05:15:33,13,Reviewed authentication logs; checked source IP,2,Yes,Reviewed authentication logs and source IP.,Likely false positive,Yes
INV00110,ALT00110,AN09808,2026-09-02 07:10:26,2026-09-02 07:34:26,24,Checked threat intelligence and historical activity,8,Yes,Reviewed authentication logs and source IP.,Likely false positive,No
INV00111,ALT00111,AN02399,2026-08-12 00:51:35,2026-08-12 01:41:35,50,Reviewed authentication logs; checked source IP,7,Yes,Reviewed authentication logs and source IP.,Benign activity,Yes
INV00112,ALT00112,AN04170,2026-09-07 06:23:00,2026-09-07 06:53:00,30,Reviewed authentication logs; checked source IP,11,Yes,Investigated user activity and historical baseline.,Benign activity,Yes
INV00113,ALT00113,AN09567,2026-08-27 00:48:21,2026-08-27 01:33:21,45,Reviewed endpoint logs; analyzed process tree,4,No,Reviewed authentication logs and source IP.,Likely false positive,Yes
INV00114,ALT00114,AN14186,2026-08-24 15:17:27,2026-08-24 15:31:27,14,Reviewed authentication logs; checked source IP,3,Yes,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,Yes
INV00115,ALT00115,AN10322,2026-08-14 16:18:32,2026-08-14 16:47:32,29,"Correlated SIEM, firewall and endpoint telemetry",9,No,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV00116,ALT00116,AN18830,2026-08-29 08:43:25,2026-08-29 09:18:25,35,Reviewed endpoint logs; analyzed process tree,4,No,Reviewed authentication logs and source IP.,Potential compromise identified,Yes
INV00117,ALT00117,AN20860,2026-08-03 17:45:49,2026-08-03 18:09:49,24,"Correlated SIEM, firewall and endpoint telemetry",10,No,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV00118,ALT00118,AN01077,2026-08-12 19:50:47,2026-08-12 20:11:47,21,Checked threat intelligence and historical activity,11,No,Reviewed authentication logs and source IP.,Benign activity,No
INV00119,ALT00119,AN16104,2026-08-30 03:15:21,2026-08-30 04:40:21,85,Reviewed authentication logs; checked source IP,4,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,No
INV00120,ALT00120,AN03256,2026-08-21 02:03:28,2026-08-21 03:28:28,85,Reviewed authentication logs; checked source IP,11,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV00121,ALT00121,AN11883,2026-08-25 07:02:48,2026-08-25 07:19:48,17,Reviewed authentication logs; checked source IP,9,Yes,Validated detection against SIEM and endpoint evidence.,Suspicious activity confirmed,Yes
INV00122,ALT00122,AN24974,2026-08-19 10:23:23,2026-08-19 10:41:23,18,Reviewed authentication logs; checked source IP,4,Yes,Validated detection against SIEM and endpoint evidence.,Likely false positive,Yes
INV00123,ALT00123,AN01381,2026-08-27 13:32:54,2026-08-27 14:58:54,86,Reviewed endpoint logs; analyzed process tree,3,Yes,Checked endpoint telemetry and correlated network events.,Likely false positive,Yes
INV00124,ALT00124,AN23085,2026-08-06 11:38:36,2026-08-06 12:07:36,29,Checked threat intelligence and historical activity,6,No,Reviewed authentication logs and source IP.,Suspicious activity confirmed,No
INV00125,ALT00125,AN08651,2026-08-26 18:26:54,2026-08-26 18:51:54,25,Reviewed authentication logs; checked source IP,2,Yes,Reviewed authentication logs and source IP.,Potential compromise identified,Yes
INV00126,ALT00126,AN00701,2026-08-26 04:52:30,2026-08-26 05:05:30,13,"Correlated SIEM, firewall and endpoint telemetry",5,Yes,Investigated user activity and historical baseline.,Benign activity,No
INV00127,ALT00127,AN11054,2026-09-02 01:24:13,2026-09-02 01:49:13,25,Reviewed endpoint logs; analyzed process tree,4,Yes,Validated detection against SIEM and endpoint evidence.,Benign activity,No
INV00128,ALT00128,AN01334,2026-08-08 20:14:14,2026-08-08 20:23:14,9,Checked threat intelligence and historical activity,10,Yes,Validated detection against SIEM and endpoint evidence.,Suspicious activity confirmed,Yes
INV00129,ALT00129,AN13573,2026-08-18 12:00:28,2026-08-18 12:37:28,37,Checked threat intelligence and historical activity,12,Yes,Validated detection against SIEM and endpoint evidence.,Suspicious activity confirmed,Yes
INV00130,ALT00130,AN14966,2026-08-14 22:26:34,2026-08-14 22:53:34,27,Reviewed authentication logs; checked source IP,11,No,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,No
INV00131,ALT00131,AN08250,2026-08-08 20:42:38,2026-08-08 21:04:38,22,Checked threat intelligence and historical activity,8,Yes,Investigated user activity and historical baseline.,Benign activity,No
INV00132,ALT00132,AN14875,2026-08-28 05:24:54,2026-08-28 05:41:54,17,Reviewed endpoint logs; analyzed process tree,4,Yes,Checked endpoint telemetry and correlated network events.,Benign activity,Yes
INV00133,ALT00133,AN23583,2026-08-06 15:56:40,2026-08-06 16:18:40,22,"Correlated SIEM, firewall and endpoint telemetry",5,No,Investigated user activity and historical baseline.,Likely false positive,No
INV00134,ALT00134,AN01597,2026-08-04 15:16:03,2026-08-04 16:24:03,68,Reviewed authentication logs; checked source IP,6,Yes,Validated detection against SIEM and endpoint evidence.,Suspicious activity confirmed,No
INV00135,ALT00135,AN15081,2026-08-03 10:49:24,2026-08-03 11:10:24,21,"Correlated SIEM, firewall and endpoint telemetry",7,Yes,Checked endpoint telemetry and correlated network events.,Suspicious activity confirmed,Yes
INV00136,ALT00136,AN05798,2026-08-16 23:54:39,2026-08-17 00:37:39,43,Reviewed authentication logs; checked source IP,12,No,Checked endpoint telemetry and correlated network events.,Likely false positive,Yes
INV00137,ALT00137,AN09299,2026-08-02 19:37:03,2026-08-02 19:44:03,7,Checked alert,1,No,Reviewed.,No further action,No
INV00138,ALT00138,AN16837,2026-08-04 13:35:44,2026-08-04 13:48:44,13,Reviewed endpoint logs; analyzed process tree,12,Yes,Reviewed authentication logs and source IP.,Suspicious activity confirmed,Yes
INV00139,ALT00139,AN07950,2026-09-01 12:57:33,2026-09-01 13:53:33,56,Reviewed authentication logs; checked source IP,4,Yes,Reviewed authentication logs and source IP.,Potential compromise identified,Yes
INV00140,ALT00140,AN12917,2026-09-08 12:49:00,2026-09-08 12:58:00,9,"Correlated SIEM, firewall and endpoint telemetry",7,Yes,Reviewed authentication logs and source IP.,Potential compromise identified,No
INV00141,ALT00141,AN18011,2026-08-02 16:36:32,2026-08-02 17:20:32,44,Checked threat intelligence and historical activity,6,Yes,Reviewed authentication logs and source IP.,Benign activity,Yes
INV00142,ALT00142,AN11015,2026-08-21 07:44:17,2026-08-21 08:06:17,22,Reviewed endpoint logs; analyzed process tree,8,Yes,Investigated user activity and historical baseline.,Likely false positive,No
