alert_id,external_id,organization_id,asset_id,analyst_id,alert_type,severity,status,created_at,closed_at,closure_time_minutes,investigation_notes,evidence_reviewed,escalated,false_positive,incident_id
ALT00055,SIEM-900055,ORG00222,AST22909,AN13545,Anomalous Process,Medium,Investigating,2026-08-15 10:28:00,,,Reviewed authentication logs and source IP.,Yes,No,Yes,
ALT00056,SIEM-900056,ORG00809,AST13839,AN12622,Privilege Escalation,Low,Investigating,2026-08-08 05:44:00,,,Investigated user activity and historical baseline.,Yes,No,No,
ALT00057,SIEM-900057,ORG00588,AST17944,AN14366,Privilege Escalation,Medium,Closed,2026-08-27 20:42:00,2026-08-27 22:22:00,100,Validated detection against SIEM and endpoint evidence.,Yes,Yes,No,
ALT00058,SIEM-900058,ORG00666,AST02383,AN09030,Malware,Medium,Closed,2026-08-16 12:53:00,2026-08-16 13:37:00,44,Reviewed authentication logs and source IP.,Yes,Yes,No,
ALT00059,SIEM-900059,ORG00822,AST21831,AN17966,Ransomware,Medium,Investigating,2026-08-16 13:31:00,,,Investigated user activity and historical baseline.,Yes,No,No,
ALT00060,SIEM-900060,ORG00104,AST02833,AN17414,Privilege Escalation,Low,Investigating,2026-08-20 10:11:00,,,Investigated user activity and historical baseline.,Yes,No,Yes,
ALT00061,SIEM-900061,ORG00040,AST17948,AN21019,Suspicious Login,Medium,Investigating,2026-08-30 07:10:00,,,Investigated user activity and historical baseline.,Yes,Yes,No,
ALT00062,SIEM-900062,ORG00751,AST07641,AN08890,Malware,High,Closed,2026-08-22 19:23:00,2026-08-22 19:38:00,15,Reviewed authentication logs and source IP.,Yes,Yes,No,
ALT00063,SIEM-900063,ORG00583,AST08635,AN00816,Phishing,Medium,Closed,2026-08-29 02:08:00,2026-08-29 02:21:00,13,Checked endpoint telemetry and correlated network events.,Yes,Yes,No,
ALT00064,SIEM-900064,ORG00781,AST15798,AN00574,Malware,Low,Closed,2026-08-29 04:13:00,2026-08-29 04:21:00,8,Checked endpoint telemetry and correlated network events.,Yes,No,Yes,
ALT00065,SIEM-900065,ORG00401,AST13503,AN11465,Suspicious Login,Medium,Investigating,2026-08-22 09:48:00,,,Checked endpoint telemetry and correlated network events.,Yes,No,No,
ALT00066,SIEM-900066,ORG00705,AST00502,AN02012,Ransomware,High,Escalated,2026-08-23 07:09:00,,,Checked endpoint telemetry and correlated network events.,Yes,Yes,Yes,INC00066
ALT00067,SIEM-900067,ORG00906,AST05633,AN05140,Malware,Critical,Escalated,2026-08-28 05:17:00,,,Validated detection against SIEM and endpoint evidence.,Yes,Yes,Yes,INC00067
ALT00068,SIEM-900068,ORG00219,AST06555,AN22964,Data Exfiltration,Medium,Closed,2026-09-01 11:41:00,2026-09-01 12:03:00,22,Checked endpoint telemetry and correlated network events.,Yes,Yes,No,
ALT00069,SIEM-900069,ORG00766,AST24572,AN09125,Impossible Travel,Medium,Closed,2026-08-13 10:25:00,2026-08-13 11:44:00,79,Reviewed authentication logs and source IP.,No,Yes,Yes,
ALT00070,SIEM-900070,ORG00598,AST16238,AN23433,Port Scan,Critical,Open,2026-09-06 23:37:00,,,Validated detection against SIEM and endpoint evidence.,Yes,Yes,Yes,
ALT00071,SIEM-900071,ORG00816,AST04302,AN08817,Malware,High,Closed,2026-09-04 12:03:00,2026-09-04 12:20:00,17,Checked endpoint telemetry and correlated network events.,Yes,No,No,
ALT00072,SIEM-900072,ORG00728,AST20869,AN23544,Impossible Travel,Medium,Closed,2026-08-19 16:54:00,2026-08-19 17:09:00,15,Investigated user activity and historical baseline.,Yes,Yes,No,
ALT00073,SIEM-900073,ORG00043,AST23460,AN06750,Brute Force,Critical,Investigating,2026-08-29 03:40:00,,,Checked endpoint telemetry and correlated network events.,Yes,No,Yes,INC00073
ALT00074,SIEM-900074,ORG00018,AST07805,AN07840,Phishing,Critical,Closed,2026-09-04 06:22:00,2026-09-04 06:40:00,18,Validated detection against SIEM and endpoint evidence.,Yes,Yes,No,
ALT00075,SIEM-900075,ORG00477,AST05183,AN12010,Phishing,High,Closed,2026-08-08 00:30:00,2026-08-08 00:45:00,15,Investigated user activity and historical baseline.,Yes,Yes,Yes,
ALT00076,SIEM-900076,ORG00851,AST15665,AN18509,Brute Force,Medium,Closed,2026-08-24 02:40:00,2026-08-24 03:03:00,23,Validated detection against SIEM and endpoint evidence.,Yes,Yes,No,
ALT00077,SIEM-900077,ORG00507,AST05737,AN08783,Data Exfiltration,High,Closed,2026-09-06 14:47:00,2026-09-06 15:05:00,18,Validated detection against SIEM and endpoint evidence.,No,Yes,No,
ALT00078,SIEM-900078,ORG00099,AST01449,AN21792,Suspicious Login,Medium,Closed,2026-08-12 21:13:00,2026-08-12 22:19:00,66,Validated detection against SIEM and endpoint evidence.,Yes,No,Yes,
ALT00079,SIEM-900079,ORG00448,AST14983,AN07549,Impossible Travel,Low,Closed,2026-08-18 00:06:00,2026-08-18 00:38:00,32,Investigated user activity and historical baseline.,Yes,No,Yes,
ALT00080,SIEM-900080,ORG00940,AST04382,AN07181,Suspicious Login,Critical,Open,2026-08-24 06:26:00,,,Validated detection against SIEM and endpoint evidence.,Yes,Yes,No,
ALT00081,SIEM-900081,ORG00369,AST18467,AN21372,Anomalous Process,Medium,Escalated,2026-08-08 13:04:00,,,Investigated user activity and historical baseline.,Yes,Yes,No,INC00081
ALT00082,SIEM-900082,ORG00843,AST07969,AN02229,Anomalous Process,Medium,Escalated,2026-08-15 01:09:00,,,Reviewed authentication logs and source IP.,Yes,Yes,No,INC00082
ALT00083,SIEM-900083,ORG00641,AST18715,AN16396,Data Exfiltration,Low,Escalated,2026-08-14 15:50:00,,,Investigated user activity and historical baseline.,Yes,Yes,No,INC00083
ALT00084,SIEM-900084,ORG00729,AST02083,AN11504,Phishing,Low,Closed,2026-08-17 22:35:00,2026-08-17 23:28:00,53,Validated detection against SIEM and endpoint evidence.,Yes,No,No,
ALT00085,SIEM-900085,ORG00500,AST00584,AN02301,Ransomware,Low,Closed,2026-08-20 09:31:00,2026-08-20 10:06:00,35,Reviewed authentication logs and source IP.,No,Yes,No,
ALT00086,SIEM-900086,ORG00979,AST13768,AN13882,Anomalous Process,Medium,Open,2026-08-27 13:56:00,,,Validated detection against SIEM and endpoint evidence.,No,Yes,No,
ALT00087,SIEM-900087,ORG00022,AST05235,AN11282,Privilege Escalation,Medium,Closed,2026-08-17 00:01:00,2026-08-17 00:18:00,17,Checked endpoint telemetry and correlated network events.,Yes,Yes,No,
ALT00088,SIEM-900088,ORG00693,AST01687,AN15220,Anomalous Process,Low,Closed,2026-08-01 07:25:00,2026-08-01 08:05:00,40,Checked endpoint telemetry and correlated network events.,Yes,No,No,
ALT00089,SIEM-900089,ORG00051,AST02043,AN18237,Anomalous Process,Critical,Closed,2026-08-04 10:28:00,2026-08-04 10:44:00,16,Reviewed authentication logs and source IP.,No,No,No,
ALT00090,SIEM-900090,ORG00563,AST18967,AN18600,Anomalous Process,High,Closed,2026-09-06 11:55:00,2026-09-06 12:34:00,39,Reviewed authentication logs and source IP.,Yes,Yes,No,
ALT00091,SIEM-900091,ORG00053,AST11679,AN03214,Brute Force,Medium,Closed,2026-08-25 23:05:00,2026-08-26 00:11:00,66,Validated detection against SIEM and endpoint evidence.,Yes,No,No,
ALT00092,SIEM-900092,ORG00484,AST18445,AN01168,Malware,High,Closed,2026-08-19 14:28:00,2026-08-19 15:14:00,46,Checked endpoint telemetry and correlated network events.,Yes,Yes,No,
ALT00093,SIEM-900093,ORG00123,AST18897,AN23876,Brute Force,Low,Escalated,2026-08-01 23:46:00,,,Investigated user activity and historical baseline.,Yes,Yes,Yes,INC00093
ALT00094,SIEM-900094,ORG00916,AST08807,AN08270,Data Exfiltration,Low,Closed,2026-09-03 03:38:00,2026-09-03 04:06:00,28,Reviewed authentication logs and source IP.,No,Yes,No,
ALT00095,SIEM-900095,ORG00441,AST22903,AN04124,Phishing,Low,Closed,2026-08-28 07:01:00,2026-08-28 08:39:00,98,Investigated user activity and historical baseline.,No,No,Yes,
ALT00096,SIEM-900096,ORG00841,AST21729,AN08637,Port Scan,Medium,Closed,2026-08-01 13:30:00,2026-08-01 14:00:00,30,Reviewed authentication logs and source IP.,Yes,No,No,
ALT00097,SIEM-900097,ORG00986,AST20494,AN19530,Anomalous Process,High,Closed,2026-08-02 05:47:00,2026-08-02 06:10:00,23,Investigated user activity and historical baseline.,Yes,Yes,No,
ALT00098,SIEM-900098,ORG00734,AST10034,AN02943,Impossible Travel,Low,Closed,2026-08-10 23:40:00,2026-08-11 00:18:00,38,Reviewed authentication logs and source IP.,No,No,No,
ALT00099,SIEM-900099,ORG00024,AST20339,AN03530,Brute Force,Medium,Investigating,2026-08-16 01:35:00,,,Reviewed authentication logs and source IP.,Yes,No,No,
ALT00100,SIEM-900100,ORG00146,AST15496,AN13863,Anomalous Process,Medium,Closed,2026-08-18 10:16:00,2026-08-18 10:44:00,28,Reviewed authentication logs and source IP.,Yes,No,No,
ALT00101,SIEM-900101,ORG00162,AST01892,AN08389,Data Exfiltration,Medium,Investigating,2026-08-29 02:34:00,,,Reviewed authentication logs and source IP.,No,No,No,
ALT00102,SIEM-900102,ORG00080,AST24902,AN07055,Anomalous Process,Medium,Closed,2026-09-04 09:09:00,2026-09-04 09:21:00,12,Investigated user activity and historical baseline.,Yes,Yes,No,
ALT00103,SIEM-900103,ORG00871,AST05661,AN20271,Impossible Travel,Low,Closed,2026-08-10 07:16:00,2026-08-10 07:31:00,15,Checked endpoint telemetry and correlated network events.,Yes,No,No,
ALT00104,SIEM-900104,ORG00061,AST10693,AN10512,Anomalous Process,Medium,Closed,2026-08-11 18:34:00,2026-08-11 19:03:00,29,Reviewed authentication logs and source IP.,Yes,No,No,
ALT00105,SIEM-900105,ORG00242,AST04493,AN06999,Port Scan,High,Closed,2026-08-18 11:42:00,2026-08-18 12:06:00,24,Checked endpoint telemetry and correlated network events.,Yes,Yes,No,
ALT00106,SIEM-900106,ORG00256,AST12894,AN24296,Anomalous Process,Critical,Closed,2026-08-28 05:37:00,2026-08-28 06:13:00,36,Checked endpoint telemetry and correlated network events.,Yes,No,No,
ALT00107,SIEM-900107,ORG00232,AST15121,AN12611,Port Scan,Medium,Closed,2026-08-21 22:19:00,2026-08-21 22:44:00,25,Checked endpoint telemetry and correlated network events.,Yes,No,No,
ALT00108,SIEM-900108,ORG00804,AST23884,AN05527,Ransomware,Low,Closed,2026-08-02 10:38:00,2026-08-02 11:10:00,32,Validated detection against SIEM and endpoint evidence.,No,Yes,No,
ALT00109,SIEM-900109,ORG00560,AST07932,AN02783,Port Scan,High,Closed,2026-08-06 05:02:00,2026-08-06 05:15:00,13,Reviewed authentication logs and source IP.,Yes,Yes,No,
ALT00110,SIEM-900110,ORG00543,AST23918,AN09808,Malware,Low,Investigating,2026-09-02 07:09:00,,,Reviewed authentication logs and source IP.,Yes,No,No,
ALT00111,SIEM-900111,ORG00630,AST08483,AN02399,Ransomware,High,Closed,2026-08-12 00:51:00,2026-08-12 01:41:00,50,Reviewed authentication logs and source IP.,Yes,Yes,No,
ALT00112,SIEM-900112,ORG00683,AST12848,AN04170,Anomalous Process,High,Closed,2026-09-07 06:20:00,2026-09-07 06:50:00,30,Investigated user activity and historical baseline.,Yes,Yes,Yes,
ALT00113,SIEM-900113,ORG00179,AST13745,AN09567,Privilege Escalation,Low,Investigating,2026-08-27 00:46:00,,,Reviewed authentication logs and source IP.,No,Yes,No,
ALT00114,SIEM-900114,ORG00199,AST24194,AN14186,Ransomware,Medium,Closed,2026-08-24 15:16:00,2026-08-24 15:30:00,14,Checked endpoint telemetry and correlated network events.,Yes,Yes,No,
ALT00115,SIEM-900115,ORG00387,AST11565,AN10322,Brute Force,Medium,Closed,2026-08-14 16:18:00,2026-08-14 16:47:00,29,Validated detection against SIEM and endpoint evidence.,No,Yes,No,
ALT00116,SIEM-900116,ORG00351,AST23572,AN18830,Data Exfiltration,Low,Closed,2026-08-29 08:43:00,2026-08-29 09:18:00,35,Reviewed authentication logs and source IP.,No,Yes,No,
ALT00117,SIEM-900117,ORG00262,AST01827,AN20860,Malware,High,Closed,2026-08-03 17:45:00,2026-08-03 18:09:00,24,Validated detection against SIEM and endpoint evidence.,No,Yes,No,
ALT00118,SIEM-900118,ORG00453,AST14253,AN01077,Impossible Travel,Medium,Closed,2026-08-12 19:48:00,2026-08-12 20:09:00,21,Reviewed authentication logs and source IP.,No,No,No,
ALT00119,SIEM-900119,ORG00991,AST01612,AN16104,Data Exfiltration,Medium,Investigating,2026-08-30 03:15:00,,,Validated detection against SIEM and endpoint evidence.,Yes,No,No,
ALT00120,SIEM-900120,ORG00398,AST18759,AN03256,Impossible Travel,High,Escalated,2026-08-21 02:02:00,,,Validated detection against SIEM and endpoint evidence.,Yes,Yes,Yes,INC00120
ALT00121,SIEM-900121,ORG00289,AST11521,AN11883,Privilege Escalation,Low,Open,2026-08-25 07:02:00,,,Validated detection against SIEM and endpoint evidence.,Yes,Yes,No,
ALT00122,SIEM-900122,ORG00905,AST17448,AN24974,Anomalous Process,High,Closed,2026-08-19 10:22:00,2026-08-19 10:40:00,18,Validated detection against SIEM and endpoint evidence.,Yes,Yes,No,
ALT00123,SIEM-900123,ORG00911,AST09218,AN01381,Brute Force,Medium,Closed,2026-08-27 13:30:00,2026-08-27 14:56:00,86,Checked endpoint telemetry and correlated network events.,Yes,Yes,No,
ALT00124,SIEM-900124,ORG00879,AST09367,AN23085,Malware,Low,Closed,2026-08-06 11:38:00,2026-08-06 12:07:00,29,Reviewed authentication logs and source IP.,No,No,No,
ALT00125,SIEM-900125,ORG00446,AST22865,AN08651,Ransomware,Medium,Closed,2026-08-26 18:26:00,2026-08-26 18:51:00,25,Reviewed authentication logs and source IP.,Yes,Yes,No,
ALT00126,SIEM-900126,ORG00110,AST15610,AN00701,Ransomware,Low,Closed,2026-08-26 04:52:00,2026-08-26 05:05:00,13,Investigated user activity and historical baseline.,Yes,No,No,
ALT00127,SIEM-900127,ORG00698,AST22413,AN11054,Anomalous Process,Low,Open,2026-09-02 01:24:00,,,Validated detection against SIEM and endpoint evidence.,Yes,No,Yes,
ALT00128,SIEM-900128,ORG00632,AST15183,AN01334,Data Exfiltration,Low,Closed,2026-08-08 20:13:00,2026-08-08 20:22:00,9,Validated detection against SIEM and endpoint evidence.,Yes,Yes,No,
ALT00129,SIEM-900129,ORG00507,AST02090,AN13573,Suspicious Login,Medium,Closed,2026-08-18 11:59:00,2026-08-18 12:36:00,37,Validated detection against SIEM and endpoint evidence.,Yes,Yes,No,
ALT00130,SIEM-900130,ORG00738,AST12566,AN14966,Privilege Escalation,Low,Closed,2026-08-14 22:26:00,2026-08-14 22:53:00,27,Checked endpoint telemetry and correlated network events.,No,No,No,
ALT00131,SIEM-900131,ORG00262,AST03243,AN08250,Ransomware,Medium,Closed,2026-08-08 20:40:00,2026-08-08 21:02:00,22,Investigated user activity and historical baseline.,Yes,No,No,
ALT00132,SIEM-900132,ORG00547,AST22575,AN14875,Anomalous Process,Medium,Closed,2026-08-28 05:22:00,2026-08-28 05:39:00,17,Checked endpoint telemetry and correlated network events.,Yes,Yes,Yes,
ALT00133,SIEM-900133,ORG00324,AST01356,AN23583,Anomalous Process,High,Closed,2026-08-06 15:55:00,2026-08-06 16:17:00,22,Investigated user activity and historical baseline.,No,No,No,
ALT00134,SIEM-900134,ORG00240,AST14674,AN01597,Privilege Escalation,Low,Closed,2026-08-04 15:14:00,2026-08-04 16:22:00,68,Validated detection against SIEM and endpoint evidence.,Yes,No,No,
ALT00135,SIEM-900135,ORG00917,AST06474,AN15081,Port Scan,Critical,Closed,2026-08-03 10:48:00,2026-08-03 11:09:00,21,Checked endpoint telemetry and correlated network events.,Yes,Yes,No,
ALT00136,SIEM-900136,ORG00626,AST16309,AN05798,Impossible Travel,Medium,Closed,2026-08-16 23:54:00,2026-08-17 00:37:00,43,Checked endpoint telemetry and correlated network events.,No,Yes,No,
ALT00137,SIEM-900137,ORG00127,AST14736,AN09299,Port Scan,Low,Closed,2026-08-02 19:36:00,2026-08-02 19:43:00,7,Reviewed alert.,No,No,No,
ALT00138,SIEM-900138,ORG00217,AST02903,AN16837,Anomalous Process,Medium,Closed,2026-08-04 13:34:00,2026-08-04 13:47:00,13,Reviewed authentication logs and source IP.,Yes,Yes,No,
ALT00139,SIEM-900139,ORG00803,AST14907,AN07950,Port Scan,Critical,Open,2026-09-01 12:55:00,,,Reviewed authentication logs and source IP.,Yes,Yes,No,
ALT00140,SIEM-900140,ORG00400,AST05535,AN12917,Impossible Travel,Low,Closed,2026-09-08 12:48:00,2026-09-08 12:57:00,9,Reviewed authentication logs and source IP.,Yes,No,No,
ALT00141,SIEM-900141,ORG00173,AST24831,AN18011,Privilege Escalation,Medium,Closed,2026-08-02 16:34:00,2026-08-02 17:18:00,44,Reviewed authentication logs and source IP.,Yes,Yes,No,
ALT00142,SIEM-900142,ORG00866,AST11004,AN11015,Impossible Travel,Medium,Closed,2026-08-21 07:43:00,2026-08-21 08:05:00,22,Investigated user activity and historical baseline.,Yes,No,No,
